method,autoware_istanbul_open_108,autoware_istanbul_open_108_b,autoware_istanbul_open_108_c,hdl_400_open_ct_lio_120,hdl_400_open_ct_lio_120_b,hdl_400_ros1_open_ct_lio_120_time_index,kitti_raw_0009_200,kitti_raw_0009_full,kitti_raw_0061_200,kitti_raw_0061_full,kitti_seq_00_108,kitti_seq_00_full,kitti_seq_02_full,kitti_seq_05_full,kitti_seq_07_108,kitti_seq_07_full,kitti_seq_08_full,mcd_kth_day_06_108,mcd_ntu_day_02_108,mcd_tuhh_night_09_108,mulran_parkinglot_120,mulran_parkinglot_full
aloam,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,dense,fast,,
balm2,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
clins,,,,,,dense,,,,,,,,,,,,,,,,
ct_icp,fast_window,balanced_window,balanced_window,fast_window,fast_window,dense_window,balanced_window,balanced_reference,fast_window,fast_window_reference,fast_window,default_reference,current_winner,map_50_c2f_plus_corr_4,fast_window,current_winner,simplified_seq_00_pattern,dense_seeded_reference,dense_seeded_reference,dense_seeded_reference,cluster_a_with_seed,fast_window
ct_lio,,,,seed_only_fast,,seed_only_fast,,,,,,,,,,,,,,,,
dlio,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,kitti_default,fast,,
dlo,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,kitti_default,fast,,
fast_lio2,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
fast_lio_slam,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
fast_livo2,,,,,,,fast,fast,fast,fast,,,,,,,,,,,,
floam,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
gicp,fast_recent_map,fast_recent_map,fast_recent_map,fast_recent_map,fast_recent_map,,dense_recent_map,fast_recent_map,fast_recent_map,fast_recent_map,,,,,,,,fast_recent_map,dense_recent_map,fast_recent_map,fast_recent_map,fast_recent_map
hdl_graph_slam,,,,fast,,,default,default,fast,,,,,,,,,fast,dense,dense,,
isc_loam,,,,fast,,,fast,fast,dense,fast,,,,,,,,fast,fast,fast,,
kiss_icp,fast_recent_map,dense_local_map,fast_recent_map,fast_recent_map,fast_recent_map,,fast_recent_map,fast_recent_map,fast_recent_map,fast_recent_map,,fast_profile,,,,fast_profile,,fast_recent_map,fast_recent_map,fast_recent_map,fast_recent_map,fast_recent_map
lego_loam,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
lins,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,dense,fast,,
lio_sam,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
litamin2,fast_icp_only_half_threads,fast_icp_only_half_threads,paper_icp_only_half_threads,fast_cov_half_threads,fast_icp_only_half_threads,,paper_cov_half_threads,fast_icp_only_half_threads,fast_cov_half_threads,fast_icp_only_half_threads,,tuned_voxel2_iter12_seeded,cluster_t1_seeded,fast_seeded_reference,,fast_seeded_reference,fast_seeded_reference,fast_icp_only_half_threads,paper_icp_only_half_threads,fast_icp_only_half_threads,fast_cov_half_threads,fast_icp_only_half_threads
loam_livox,,,,default,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
mulls,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,kitti_default,fast,,
ndt,fast_coarse_map,fast_coarse_map,fast_coarse_map,fast_coarse_map,fast_coarse_map,,fast_coarse_map,fast_coarse_map,fast_coarse_map,fast_coarse_map,,,,,,,,fast_coarse_map,balanced_local_map,fast_coarse_map,,
okvis,,,,,,,fast,fast,fast,fast,,,,,,,,,,,,
point_lio,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
small_gicp,,,,fast_recent_map,,,balanced_local_map,fast_recent_map,fast_recent_map,fast_recent_map,,fast_profile,,,,fast_profile,,fast_recent_map,dense_recent_map,fast_recent_map,,
suma,,,,default,,,default,dense,dense,fast,,,,,,,,fast,dense,default,,
vgicp_slam,,,,fast,,,fast,fast,fast,fast,,,,,,,,fast,fast,fast,,
vins_fusion,,,,,,,fast,fast,fast,fast,,,,,,,,,,,,
voxel_gicp,,,,dense_recent_map,,,dense_recent_map,dense_recent_map,dense_recent_map,dense_recent_map,,dense_profile,,,,dense_profile,,dense_recent_map,dense_recent_map,dense_recent_map,,
xicp,,,,dense,,,fast,dense,fast,fast,,,,,,,,fast,dense,dense,,
