method,dataset_slug,default_variant_id
aloam,hdl_400_open_ct_lio_120,fast
aloam,kitti_raw_0009_200,fast
aloam,kitti_raw_0009_full,fast
aloam,kitti_raw_0061_200,fast
aloam,kitti_raw_0061_full,fast
aloam,mcd_kth_day_06_108,fast
aloam,mcd_ntu_day_02_108,dense
aloam,mcd_tuhh_night_09_108,fast
balm2,hdl_400_open_ct_lio_120,fast
balm2,kitti_raw_0009_200,fast
balm2,kitti_raw_0009_full,fast
balm2,kitti_raw_0061_200,fast
balm2,kitti_raw_0061_full,fast
balm2,mcd_kth_day_06_108,fast
balm2,mcd_ntu_day_02_108,fast
balm2,mcd_tuhh_night_09_108,fast
clins,hdl_400_ros1_open_ct_lio_120_time_index,dense
ct_icp,autoware_istanbul_open_108,fast_window
ct_icp,autoware_istanbul_open_108_b,balanced_window
ct_icp,autoware_istanbul_open_108_c,balanced_window
ct_icp,hdl_400_open_ct_lio_120,fast_window
ct_icp,hdl_400_open_ct_lio_120_b,fast_window
ct_icp,hdl_400_ros1_open_ct_lio_120_time_index,dense_window
ct_icp,kitti_raw_0009_200,balanced_window
ct_icp,kitti_raw_0009_full,balanced_window
ct_icp,kitti_raw_0061_200,fast_window
ct_icp,kitti_raw_0061_full,fast_window
ct_icp,mcd_kth_day_06_108,fast_window
ct_icp,mcd_ntu_day_02_108,dense_window
ct_icp,mcd_tuhh_night_09_108,fast_window
ct_lio,hdl_400_open_ct_lio_120,seed_only_fast
ct_lio,hdl_400_ros1_open_ct_lio_120_time_index,seed_only_fast
dlio,hdl_400_open_ct_lio_120,fast
dlio,kitti_raw_0009_200,fast
dlio,kitti_raw_0009_full,fast
dlio,kitti_raw_0061_200,fast
dlio,kitti_raw_0061_full,fast
dlio,mcd_kth_day_06_108,fast
dlio,mcd_ntu_day_02_108,kitti_default
dlio,mcd_tuhh_night_09_108,fast
dlo,hdl_400_open_ct_lio_120,fast
dlo,kitti_raw_0009_200,fast
dlo,kitti_raw_0009_full,fast
dlo,kitti_raw_0061_200,fast
dlo,kitti_raw_0061_full,fast
dlo,mcd_kth_day_06_108,fast
dlo,mcd_ntu_day_02_108,kitti_default
dlo,mcd_tuhh_night_09_108,fast
fast_lio2,hdl_400_open_ct_lio_120,fast
fast_lio2,kitti_raw_0009_200,fast
fast_lio2,kitti_raw_0009_full,fast
fast_lio2,kitti_raw_0061_200,fast
fast_lio2,kitti_raw_0061_full,fast
fast_lio2,mcd_kth_day_06_108,fast
fast_lio2,mcd_ntu_day_02_108,fast
fast_lio2,mcd_tuhh_night_09_108,fast
fast_lio_slam,hdl_400_open_ct_lio_120,fast
fast_lio_slam,kitti_raw_0009_200,fast
fast_lio_slam,kitti_raw_0009_full,fast
fast_lio_slam,kitti_raw_0061_200,fast
fast_lio_slam,kitti_raw_0061_full,fast
fast_lio_slam,mcd_kth_day_06_108,fast
fast_lio_slam,mcd_ntu_day_02_108,fast
fast_lio_slam,mcd_tuhh_night_09_108,fast
floam,hdl_400_open_ct_lio_120,fast
floam,kitti_raw_0009_200,fast
floam,kitti_raw_0009_full,fast
floam,kitti_raw_0061_200,fast
floam,kitti_raw_0061_full,fast
floam,mcd_kth_day_06_108,fast
floam,mcd_ntu_day_02_108,fast
floam,mcd_tuhh_night_09_108,fast
gicp,autoware_istanbul_open_108,fast_recent_map
gicp,autoware_istanbul_open_108_b,fast_recent_map
gicp,autoware_istanbul_open_108_c,fast_recent_map
gicp,hdl_400_open_ct_lio_120,fast_recent_map
gicp,hdl_400_open_ct_lio_120_b,fast_recent_map
gicp,kitti_raw_0009_200,dense_recent_map
gicp,kitti_raw_0009_full,fast_recent_map
gicp,kitti_raw_0061_200,fast_recent_map
gicp,kitti_raw_0061_full,fast_recent_map
gicp,mcd_kth_day_06_108,fast_recent_map
gicp,mcd_ntu_day_02_108,dense_recent_map
gicp,mcd_tuhh_night_09_108,fast_recent_map
hdl_graph_slam,hdl_400_open_ct_lio_120,fast
hdl_graph_slam,kitti_raw_0009_200,default
hdl_graph_slam,kitti_raw_0009_full,default
hdl_graph_slam,kitti_raw_0061_200,fast
hdl_graph_slam,mcd_kth_day_06_108,fast
hdl_graph_slam,mcd_ntu_day_02_108,dense
hdl_graph_slam,mcd_tuhh_night_09_108,dense
isc_loam,hdl_400_open_ct_lio_120,fast
isc_loam,kitti_raw_0009_200,fast
isc_loam,kitti_raw_0009_full,fast
isc_loam,kitti_raw_0061_200,dense
isc_loam,kitti_raw_0061_full,fast
isc_loam,mcd_kth_day_06_108,fast
isc_loam,mcd_ntu_day_02_108,fast
isc_loam,mcd_tuhh_night_09_108,fast
kiss_icp,autoware_istanbul_open_108,fast_recent_map
kiss_icp,autoware_istanbul_open_108_b,dense_local_map
kiss_icp,autoware_istanbul_open_108_c,fast_recent_map
kiss_icp,hdl_400_open_ct_lio_120,fast_recent_map
kiss_icp,hdl_400_open_ct_lio_120_b,fast_recent_map
kiss_icp,kitti_raw_0009_200,fast_recent_map
kiss_icp,kitti_raw_0009_full,fast_recent_map
kiss_icp,kitti_raw_0061_200,fast_recent_map
kiss_icp,kitti_raw_0061_full,fast_recent_map
kiss_icp,mcd_kth_day_06_108,fast_recent_map
kiss_icp,mcd_ntu_day_02_108,fast_recent_map
kiss_icp,mcd_tuhh_night_09_108,fast_recent_map
lego_loam,hdl_400_open_ct_lio_120,fast
lego_loam,kitti_raw_0009_200,fast
lego_loam,kitti_raw_0009_full,fast
lego_loam,kitti_raw_0061_200,fast
lego_loam,kitti_raw_0061_full,fast
lego_loam,mcd_kth_day_06_108,fast
lego_loam,mcd_ntu_day_02_108,fast
lego_loam,mcd_tuhh_night_09_108,fast
lins,hdl_400_open_ct_lio_120,fast
lins,kitti_raw_0009_200,fast
lins,kitti_raw_0009_full,fast
lins,kitti_raw_0061_200,fast
lins,kitti_raw_0061_full,fast
lins,mcd_kth_day_06_108,fast
lins,mcd_ntu_day_02_108,dense
lins,mcd_tuhh_night_09_108,fast
lio_sam,hdl_400_open_ct_lio_120,fast
lio_sam,kitti_raw_0009_200,fast
lio_sam,kitti_raw_0009_full,fast
lio_sam,kitti_raw_0061_200,fast
lio_sam,kitti_raw_0061_full,fast
lio_sam,mcd_kth_day_06_108,fast
lio_sam,mcd_ntu_day_02_108,fast
lio_sam,mcd_tuhh_night_09_108,fast
litamin2,autoware_istanbul_open_108,fast_icp_only_half_threads
litamin2,autoware_istanbul_open_108_b,fast_icp_only_half_threads
litamin2,autoware_istanbul_open_108_c,paper_icp_only_half_threads
litamin2,hdl_400_open_ct_lio_120,paper_cov_half_threads
litamin2,hdl_400_open_ct_lio_120_b,fast_icp_only_half_threads
litamin2,kitti_raw_0009_200,paper_cov_half_threads
litamin2,kitti_raw_0009_full,fast_icp_only_half_threads
litamin2,kitti_raw_0061_200,fast_cov_half_threads
litamin2,kitti_raw_0061_full,fast_icp_only_half_threads
litamin2,mcd_kth_day_06_108,fast_cov_half_threads
litamin2,mcd_ntu_day_02_108,paper_icp_only_half_threads
litamin2,mcd_tuhh_night_09_108,fast_cov_half_threads
