selector,dataset,contract_type,variant_id,ate_m,fps,aggregate_path
aloam,kitti_raw_0009_full,reference-based,fast,6.104840,5.779396,experiments/results/aloam_kitti_raw_0009_full_matrix.json
ct_icp,autoware_istanbul_open_108_b,gt-backed,balanced_window,6.819773,1.582405,experiments/results/ct_icp_istanbul_window_b_matrix.json
ct_lio,hdl_400_open_ct_lio_120,reference-based,seed_only_fast,0.411644,0.443120,experiments/results/ct_lio_reference_profile_matrix.json
dlio,kitti_raw_0009_full,reference-based,fast,5.026012,7.305497,experiments/results/dlio_kitti_raw_0009_full_matrix.json
dlo,kitti_raw_0009_full,reference-based,fast,5.026012,7.333610,experiments/results/dlo_kitti_raw_0009_full_matrix.json
floam,kitti_raw_0009_full,reference-based,fast,5.452120,28.590294,experiments/results/floam_kitti_raw_0009_full_matrix.json
gicp,autoware_istanbul_open_108_c,gt-backed,fast_recent_map,0.981916,4.265101,experiments/results/gicp_istanbul_window_c_matrix.json
kiss_icp,autoware_istanbul_open_108_c,gt-backed,fast_recent_map,131.691761,3.744606,experiments/results/kiss_icp_istanbul_window_c_matrix.json
lego_loam,kitti_raw_0009_full,reference-based,fast,6.498303,9.472085,experiments/results/lego_loam_kitti_raw_0009_full_matrix.json
litamin2,autoware_istanbul_open_108_c,gt-backed,paper_icp_only_half_threads,0.741485,17.249127,experiments/results/litamin2_istanbul_window_c_matrix.json
mulls,kitti_raw_0009_full,reference-based,fast,4.609734,3.337311,experiments/results/mulls_kitti_raw_0009_full_matrix.json
ndt,autoware_istanbul_open_108_c,gt-backed,fast_coarse_map,0.005456,1.947388,experiments/results/ndt_istanbul_window_c_matrix.json
small_gicp,mcd_ntu_day_02_108,reference-based,dense_recent_map,0.030740,56.784655,experiments/results/small_gicp_mcd_ntu_day_02_matrix.json
voxel_gicp,mcd_ntu_day_02_108,reference-based,dense_recent_map,0.120636,117.186913,experiments/results/voxel_gicp_mcd_ntu_day_02_matrix.json
