landmark_id,x,y,z
0,48.944579031,71.877332434,37.847598441
1,49.334646043,72.828902061,38.044404154
2,50.438136033,74.475419252,37.708917631
3,50.989601671,75.325589558,37.878050882
4,51.931693035,77.073506070,37.570236822
5,52.644557298,77.822277055,37.711697611
6,54.135335182,68.879379727,37.586198062
7,54.318589851,69.503773287,37.722188775
8,55.628892183,71.477466545,37.447517253
9,55.973545479,72.000460784,37.555835504
10,57.122449185,74.075553363,37.308836444
11,57.628501107,74.497148281,37.389482233
