timestamp,x,y,yaw
0.000,0.000000,0.000000,0.000000
0.100,0.080000,0.007947,0.015000
0.200,0.160000,0.015577,0.030000
0.300,0.240000,0.022586,0.045000
0.400,0.320000,0.028694,0.060000
0.500,0.400000,0.033659,0.075000
0.600,0.480000,0.037282,0.090000
0.700,0.560000,0.039418,0.105000
0.800,0.640000,0.039983,0.120000
0.900,0.720000,0.038954,0.135000
1.000,0.800000,0.036372,0.150000
1.100,0.880000,0.032340,0.165000
1.200,0.960000,0.027019,0.180000
1.300,1.040000,0.020620,0.195000
1.400,1.120000,0.013400,0.210000
1.500,1.200000,0.005645,0.225000
1.600,1.280000,-0.002335,0.240000
1.700,1.360000,-0.010222,0.255000
1.800,1.440000,-0.017701,0.270000
1.900,1.520000,-0.024474,0.285000
2.000,1.600000,-0.030272,0.300000
2.100,1.680000,-0.034863,0.315000
2.200,1.760000,-0.038064,0.330000
2.300,1.840000,-0.039748,0.345000
2.400,1.920000,-0.039847,0.360000
2.500,2.000000,-0.038357,0.375000
2.600,2.080000,-0.035338,0.390000
2.700,2.160000,-0.030911,0.405000
2.800,2.240000,-0.025251,0.420000
2.900,2.320000,-0.018584,0.435000
3.000,2.400000,-0.011177,0.450000
3.100,2.480000,-0.003324,0.465000
3.200,2.560000,0.004662,0.480000
3.300,2.640000,0.012462,0.495000
3.400,2.720000,0.019765,0.510000
3.500,2.800000,0.026279,0.525000
3.600,2.880000,0.031747,0.540000
3.700,2.960000,0.035948,0.555000
3.800,3.040000,0.038717,0.570000
3.900,3.120000,0.039942,0.585000
4.000,3.200000,0.039574,0.600000
4.100,3.280000,0.037629,0.615000
4.200,3.360000,0.034184,0.630000
4.300,3.440000,0.029376,0.645000
4.400,3.520000,0.023397,0.660000
4.500,3.600000,0.016485,0.675000
4.600,3.680000,0.008916,0.690000
4.700,3.760000,0.000991,0.705000
4.800,3.840000,-0.006973,0.720000
4.900,3.920000,-0.014659,0.735000
5.000,4.000000,-0.021761,0.750000
5.100,4.080000,-0.027995,0.765000
5.200,4.160000,-0.033113,0.780000
5.300,4.240000,-0.036911,0.795000
5.400,4.320000,-0.039237,0.810000
5.500,4.400000,-0.040000,0.825000
5.600,4.480000,-0.039167,0.840000
5.700,4.560000,-0.036773,0.855000
5.800,4.640000,-0.032913,0.870000
5.900,4.720000,-0.027741,0.885000
6.000,4.800000,-0.021463,0.900000
6.100,4.880000,-0.014329,0.915000
6.200,4.960000,-0.006624,0.930000
6.300,5.040000,0.001345,0.945000
6.400,5.120000,0.009260,0.960000
6.500,5.200000,0.016807,0.975000
6.600,5.280000,0.023683,0.990000
6.700,5.360000,0.029615,1.005000
6.800,5.440000,0.034366,1.020000
6.900,5.520000,0.037748,1.035000
7.000,5.600000,0.039624,1.050000
7.100,5.680000,0.039921,1.065000
7.200,5.760000,0.038626,1.080000
7.300,5.840000,0.035792,1.095000
7.400,5.920000,0.031530,1.110000
7.500,6.000000,0.026012,1.125000
7.600,6.080000,0.019456,1.140000
7.700,6.160000,0.012125,1.155000
7.800,6.240000,0.004310,1.170000
7.900,6.320000,-0.003676,1.185000
8.000,6.400000,-0.011516,1.200000
8.100,6.480000,-0.018897,1.215000
8.200,6.560000,-0.025524,1.230000
8.300,6.640000,-0.031134,1.245000
8.400,6.720000,-0.035503,1.260000
8.500,6.800000,-0.038456,1.275000
8.600,6.880000,-0.039876,1.290000
8.700,6.960000,-0.039706,1.305000
8.800,7.040000,-0.037954,1.320000
8.900,7.120000,-0.034688,1.335000
9.000,7.200000,-0.030039,1.350000
9.100,7.280000,-0.024193,1.365000
9.200,7.360000,-0.017383,1.380000
9.300,7.440000,-0.009879,1.395000
9.400,7.520000,-0.001981,1.410000
9.500,7.600000,0.005995,1.425000
9.600,7.680000,0.013733,1.440000
9.700,7.760000,0.020923,1.455000
9.800,7.840000,0.027279,1.470000
9.900,7.920000,0.032547,1.485000
10.000,8.000000,0.036518,1.500000
10.100,8.080000,0.039033,1.515000
10.200,8.160000,0.039992,1.530000
10.300,8.240000,0.039356,1.545000
10.400,8.320000,0.037152,1.560000
10.500,8.400000,0.033466,1.575000
10.600,8.480000,0.028446,1.590000
10.700,8.560000,0.022293,1.605000
10.800,8.640000,0.015250,1.620000
10.900,8.720000,0.007599,1.635000
11.000,8.800000,-0.000354,1.650000
11.100,8.880000,-0.008293,1.665000
11.200,8.960000,-0.015902,1.680000
11.300,9.040000,-0.022877,1.695000
11.400,9.120000,-0.028940,1.710000
11.500,9.200000,-0.033849,1.725000
11.600,9.280000,-0.037408,1.740000
11.700,9.360000,-0.039477,1.755000
11.800,9.440000,-0.039971,1.770000
11.900,9.520000,-0.038872,1.785000
