timestamp,x,y,yaw
0.000,0.000000,0.000000,0.000000
0.100,0.300000,0.009933,0.020000
0.200,0.600000,0.019471,0.040000
0.300,0.900000,0.028232,0.060000
0.400,1.200000,0.035868,0.080000
0.500,1.500000,0.042074,0.100000
0.600,1.800000,0.046602,0.120000
0.700,2.100000,0.049272,0.140000
0.800,2.400000,0.049979,0.160000
0.900,2.700000,0.048692,0.180000
1.000,3.000000,0.045465,0.200000
1.100,3.300000,0.040425,0.220000
1.200,3.600000,0.033773,0.240000
1.300,3.900000,0.025775,0.260000
1.400,4.200000,0.016749,0.280000
1.500,4.500000,0.007056,0.300000
1.600,4.800000,-0.002919,0.320000
1.700,5.100000,-0.012777,0.340000
1.800,5.400000,-0.022126,0.360000
1.900,5.700000,-0.030593,0.380000
2.000,6.000000,-0.037840,0.400000
2.100,6.300000,-0.043579,0.420000
2.200,6.600000,-0.047580,0.440000
2.300,6.900000,-0.049685,0.460000
2.400,7.200000,-0.049808,0.480000
2.500,7.500000,-0.047946,0.500000
2.600,7.800000,-0.044173,0.520000
2.700,8.100000,-0.038638,0.540000
2.800,8.400000,-0.031563,0.560000
2.900,8.700000,-0.023230,0.580000
3.000,9.000000,-0.013971,0.600000
3.100,9.300000,-0.004154,0.620000
3.200,9.600000,0.005827,0.640000
3.300,9.900000,0.015577,0.660000
3.400,10.200000,0.024706,0.680000
3.500,10.500000,0.032849,0.700000
3.600,10.800000,0.039683,0.720000
3.700,11.100000,0.044935,0.740000
3.800,11.400000,0.048396,0.760000
3.900,11.700000,0.049927,0.780000
4.000,12.000000,0.049468,0.800000
4.100,12.300000,0.047037,0.820000
4.200,12.600000,0.042730,0.840000
4.300,12.900000,0.036720,0.860000
4.400,13.200000,0.029246,0.880000
4.500,13.500000,0.020606,0.900000
4.600,13.800000,0.011144,0.920000
4.700,14.100000,0.001239,0.940000
4.800,14.400000,-0.008716,0.960000
4.900,14.700000,-0.018324,0.980000
5.000,15.000000,-0.027201,1.000000
5.100,15.300000,-0.034994,1.020000
5.200,15.600000,-0.041391,1.040000
5.300,15.900000,-0.046139,1.060000
5.400,16.200000,-0.049047,1.080000
5.500,16.500000,-0.050000,1.100000
5.600,16.800000,-0.048959,1.120000
5.700,17.100000,-0.045966,1.140000
5.800,17.400000,-0.041141,1.160000
5.900,17.700000,-0.034676,1.180000
