timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1693718238.937875986,-25.9252270000,3.2633720000,-0.3935520000,-1.7107347868,-0.0109069021,-1.4641921252
1693718239.004616022,-25.9239660000,3.2628080000,-0.3940330000,-1.7093437983,-0.0043856804,-1.4615457299
1693718239.071384907,-25.9236880000,3.2625160000,-0.3964030000,-1.7224860820,-0.0105863174,-1.4603915683
1693718239.138125896,-25.9222940000,3.2618440000,-0.3963980000,-1.7168660707,-0.0079068155,-1.4612146304
1693718239.204891920,-25.9212040000,3.2623760000,-0.3970740000,-1.7171732342,-0.0079456372,-1.4576472206
1693718239.271656990,-25.9198410000,3.2619640000,-0.3979150000,-1.7209590944,-0.0089055864,-1.4584518127
1693718239.338423014,-25.9189140000,3.2619540000,-0.3984210000,-1.7232027737,-0.0089046418,-1.4582395013
1693718239.405180931,-25.9182100000,3.2615260000,-0.3971130000,-1.7169122706,-0.0059436118,-1.4604102769
1693718239.471988916,-25.9177480000,3.2616110000,-0.3954410000,-1.7131426690,-0.0046023632,-1.4615474328
1693718239.538746119,-25.9175450000,3.2621450000,-0.3939490000,-1.7080999615,-0.0020232028,-1.4601145728
1693718239.605564117,-25.9177100000,3.2620650000,-0.3922930000,-1.7047190373,-0.0008242149,-1.4600425862
1693718239.672415972,-25.9175630000,3.2625470000,-0.3926140000,-1.7076897887,-0.0002943971,-1.4593718071
1693718239.739223003,-25.9176890000,3.2627510000,-0.3927070000,-1.7042665187,0.0011656304,-1.4571700255
1693718239.805977106,-25.9177710000,3.2636200000,-0.3924780000,-1.7027554026,0.0011947573,-1.4548970237
1693718239.872770071,-25.9171430000,3.2645490000,-0.3918650000,-1.6987962347,0.0012248585,-1.4533949544
1693718239.939512968,-25.9165720000,3.2654530000,-0.3889960000,-1.6871137367,0.0047371493,-1.4527267613
1693718240.006277084,-25.9163850000,3.2666250000,-0.3877630000,-1.6837066431,0.0056678058,-1.4488022021
1693718240.073040962,-25.9168530000,3.2672920000,-0.3874200000,-1.6841774719,0.0075844383,-1.4469835000
1693718240.139792919,-25.9176140000,3.2669980000,-0.3881590000,-1.6876910226,0.0085875862,-1.4480122825
1693718240.206540108,-25.9186700000,3.2656580000,-0.3889960000,-1.6864698181,0.0080673838,-1.4507953418
1693718240.273319006,-25.9195660000,3.2651410000,-0.3897860000,-1.6886186835,0.0077303396,-1.4513376329
1693718240.340063095,-25.9200100000,3.2652340000,-0.3905680000,-1.6911383641,0.0059229048,-1.4508173664
1693718240.406836987,-25.9202570000,3.2652010000,-0.3896450000,-1.6885353022,0.0050342063,-1.4505851201
1693718240.473634958,-25.9201650000,3.2654280000,-0.3881720000,-1.6855123214,0.0045251807,-1.4513095210
1693718240.540400982,-25.9202590000,3.2655280000,-0.3863120000,-1.6806331890,0.0045303937,-1.4526626285
1693718240.607160091,-25.9204000000,3.2649080000,-0.3849570000,-1.6763385948,0.0057922659,-1.4564184044
1693718240.673929930,-25.9213880000,3.2641550000,-0.3843050000,-1.6701931089,0.0072606915,-1.4603753957
1693718240.740674973,-25.9223980000,3.2630160000,-0.3836740000,-1.6666187707,0.0085292591,-1.4658106916
1693718240.807435036,-25.9230110000,3.2629040000,-0.3841140000,-1.6690330202,0.0066058827,-1.4665918799
1693718240.874206066,-25.9231590000,3.2626870000,-0.3847600000,-1.6707919960,0.0035256308,-1.4682721962
1693718240.940970898,-25.9231540000,3.2630980000,-0.3856680000,-1.6748057870,-0.0001721227,-1.4681887458
1693718241.007728100,-25.9225350000,3.2634210000,-0.3869040000,-1.6755170119,-0.0017080180,-1.4705857959
1693718241.074501038,-25.9210900000,3.2646520000,-0.3891550000,-1.6796137959,-0.0016509092,-1.4767348145
1693718241.141307116,-25.9184210000,3.2685750000,-0.3916180000,-1.6814319702,-0.0016706186,-1.4777662143
1693718241.208108902,-25.9139720000,3.2748550000,-0.3947280000,-1.6794324448,-0.0005969459,-1.4734009093
1693718241.274931908,-25.9087730000,3.2821990000,-0.3975690000,-1.6810818442,-0.0024655241,-1.4683751428
1693718241.341681004,-25.9045760000,3.2862220000,-0.4015970000,-1.6902822041,-0.0023192746,-1.4770313542
1693718241.408432007,-25.8980760000,3.2904030000,-0.4042640000,-1.6891676980,0.0022215733,-1.4868048574
1693718241.475193977,-25.8875510000,3.2978450000,-0.4059740000,-1.6884858024,0.0031865320,-1.4876877198
1693718241.541953087,-25.8751610000,3.3069070000,-0.4101720000,-1.7006687995,0.0010816188,-1.4810883000
1693718241.608725071,-25.8598980000,3.3141950000,-0.4089830000,-1.6684400999,0.0236306948,-1.4853698257
1693718241.675523996,-25.8410190000,3.3194540000,-0.4076350000,-1.6508439502,0.0472625031,-1.5033275276
1693718241.742284060,-25.8180100000,3.3247360000,-0.4104210000,-1.6559845193,0.0536659616,-1.5103083390
1693718241.875808954,-25.7566530000,3.3356880000,-0.4168840000,-1.6549080659,0.0632989909,-1.4715788695
1693718241.942568064,-25.7148300000,3.3371800000,-0.4221090000,-1.6470161409,0.0438905585,-1.4669201070
1693718242.009495020,-25.6653460000,3.3358120000,-0.4247760000,-1.6103494211,0.0338186441,-1.4735781049
1693718242.076282024,-25.6086450000,3.3333640000,-0.4292420000,-1.6267965123,0.0329945871,-1.4806119405
1693718242.143016100,-25.5477070000,3.3325120000,-0.4278080000,-1.6358835337,0.0582116194,-1.4762296866
1693718242.209758997,-25.4835960000,3.3325050000,-0.4181180000,-1.6325919461,0.0817015467,-1.4826310542
1693718242.276519060,-25.4201220000,3.3307680000,-0.4001740000,-1.5900119956,0.0821173096,-1.4784683928
1693718242.343262911,-25.3590460000,3.3292290000,-0.3831860000,-1.5500362266,0.0513864624,-1.4760668157
1693718242.410017967,-25.3005130000,3.3281260000,-0.3740920000,-1.5624272661,0.0312661912,-1.4707348051
1693718242.476788044,-25.2416130000,3.3277540000,-0.3708940000,-1.5995048486,0.0259361545,-1.4584338998
1693718242.543534994,-25.1810960000,3.3267350000,-0.3745610000,-1.6385195761,0.0297985617,-1.4556692050
1693718242.610282898,-25.1188680000,3.3252350000,-0.3806430000,-1.6738834292,0.0386163036,-1.4450245337
1693718242.677061081,-25.0544120000,3.3273310000,-0.3905700000,-1.7209256236,0.0559442576,-1.4224042985
1693718242.743868113,-24.9856360000,3.3281160000,-0.3977920000,-1.7507043127,0.0374323280,-1.4406412293
1693718242.810626984,-24.9142980000,3.3268140000,-0.3983700000,-1.7426782310,0.0022126284,-1.4746924253
1693718242.877423048,-24.8430590000,3.3251750000,-0.3900860000,-1.7354341730,-0.0084858846,-1.5111264550
1693718242.944186926,-24.7723770000,3.3229660000,-0.3750760000,-1.7154247046,-0.0174895613,-1.5380646164
1693718243.010938883,-24.7041660000,3.3221330000,-0.3563460000,-1.7028110623,-0.0094656466,-1.5351281192
1693718243.077721119,-24.6382070000,3.3224640000,-0.3401060000,-1.6944639450,0.0029442201,-1.5129615571
1693718243.144484997,-24.5720640000,3.3242360000,-0.3298180000,-1.7006382587,0.0046716222,-1.5074881937
1693718243.211246014,-24.5037360000,3.3232780000,-0.3272490000,-1.7165020185,-0.0028767705,-1.5357160869
1693718243.278019905,-24.4363560000,3.3202320000,-0.3285680000,-1.7172649867,0.0033532140,-1.5515928810
1693718243.344774008,-24.3666580000,3.3165530000,-0.3324450000,-1.7214879073,0.0152437984,-1.5395147182
