timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1690354429.463784933,11.4369350000,-6.1596430000,-0.2522770000,-1.8989815646,-0.1043227241,0.9827197241
1690354429.530432940,11.4395450000,-6.1585810000,-0.2530380000,-1.9004811116,-0.0908811637,0.9870093013
1690354429.597095013,11.4431660000,-6.1570480000,-0.2532480000,-1.9055379052,-0.0956559792,0.9973677756
1690354429.663743973,11.4445830000,-6.1569520000,-0.2521920000,-1.9008231013,-0.1013571106,0.9951701820
1690354429.730408907,11.4444130000,-6.1577760000,-0.2525480000,-1.9032567709,-0.0955906135,1.0025122393
1690354429.797063112,11.4436110000,-6.1587930000,-0.2525540000,-1.9039279021,-0.0903638989,1.0132951308
1690354429.863727093,11.4438660000,-6.1590900000,-0.2518320000,-1.9015326880,-0.0929051147,1.0152749627
1690354429.930408955,11.4433310000,-6.1600160000,-0.2511770000,-1.8997734337,-0.0899641040,1.0208508810
1690354429.997111082,11.4425770000,-6.1608000000,-0.2498860000,-1.8970613851,-0.0891253618,1.0260531122
1690354430.063884974,11.4424950000,-6.1608480000,-0.2490860000,-1.8951264821,-0.0888917639,1.0258238640
1690354430.130547047,11.4429260000,-6.1604310000,-0.2484040000,-1.8948021223,-0.0890436999,1.0257947141
1690354430.197192907,11.4430550000,-6.1596240000,-0.2483470000,-1.8966515797,-0.0921020216,1.0261157033
1690354430.330501080,11.4440960000,-6.1578130000,-0.2489140000,-1.8968700846,-0.0894524589,1.0241473542
1690354430.397159100,11.4444530000,-6.1575780000,-0.2496090000,-1.8999253648,-0.0891102462,1.0231719853
1690354430.463804007,11.4442500000,-6.1576690000,-0.2498280000,-1.9008501007,-0.0876404651,1.0213407094
1690354430.530466080,11.4428970000,-6.1586320000,-0.2499070000,-1.9015844630,-0.0851308709,1.0254567478
1690354430.597115040,11.4415100000,-6.1590840000,-0.2499340000,-1.9032961148,-0.0901403859,1.0312324026
1690354430.663762093,11.4410850000,-6.1588210000,-0.2490460000,-1.8996942638,-0.0914821315,1.0307975548
1690354430.730451107,11.4420170000,-6.1584660000,-0.2485580000,-1.8985888824,-0.0878905113,1.0278457782
1690354430.797151089,11.4439080000,-6.1570040000,-0.2479150000,-1.8958434013,-0.0923845147,1.0227163677
1690354430.863821983,11.4460730000,-6.1556060000,-0.2484870000,-1.8972517400,-0.0978759190,1.0085601438
1690354430.930526018,11.4462330000,-6.1563850000,-0.2495490000,-1.8989933217,-0.0912510563,1.0111710341
1690354430.997160912,11.4443930000,-6.1583800000,-0.2502280000,-1.9014254546,-0.0900603592,1.0259442178
1690354431.063815117,11.4435840000,-6.1592660000,-0.2502700000,-1.8997524221,-0.0911244224,1.0313526727
1690354431.130461931,11.4438530000,-6.1599900000,-0.2517660000,-1.9035561726,-0.0901737413,1.0363133693
1690354431.197132111,11.4455450000,-6.1587210000,-0.2530390000,-1.9065761859,-0.0898910887,1.0307286881
1690354431.263782978,11.4465350000,-6.1578780000,-0.2532550000,-1.9051310287,-0.0907889701,1.0212858370
1690354431.330446959,11.4468520000,-6.1581330000,-0.2527680000,-1.9038000033,-0.0901589473,1.0237668544
1690354431.397085905,11.4460460000,-6.1579690000,-0.2518940000,-1.9009459837,-0.0894681694,1.0270835589
1690354431.463747978,11.4467290000,-6.1568060000,-0.2513600000,-1.8999274849,-0.0934510562,1.0252569445
1690354431.530421019,11.4483250000,-6.1551280000,-0.2511150000,-1.8981636845,-0.0962365057,1.0170128543
1690354431.597112894,11.4497550000,-6.1538600000,-0.2513450000,-1.8990716358,-0.0949211696,1.0122427746
1690354431.663806915,11.4507090000,-6.1529800000,-0.2513690000,-1.8992021885,-0.0936463733,1.0097070956
1690354431.730535984,11.4512680000,-6.1525090000,-0.2513490000,-1.8996586234,-0.0940694104,1.0091623935
1690354431.797192097,11.4516390000,-6.1525680000,-0.2514480000,-1.9005016315,-0.0945312993,1.0109237856
1690354431.863843918,11.4526450000,-6.1524760000,-0.2515570000,-1.9005152121,-0.0936571535,1.0126410758
1690354431.930490971,11.4534640000,-6.1520210000,-0.2518770000,-1.9014030408,-0.0944342886,1.0095375742
1690354431.997158051,11.4543260000,-6.1515040000,-0.2520550000,-1.9021000508,-0.0947677330,1.0072597336
1690354432.063791990,11.4547880000,-6.1511540000,-0.2520140000,-1.9021129849,-0.0959633518,1.0081266708
1690354432.130465984,11.4551630000,-6.1508550000,-0.2516210000,-1.9019335390,-0.0967200055,1.0070866395
1690354432.197125912,11.4552520000,-6.1511410000,-0.2517080000,-1.9028700731,-0.0975542676,1.0076829970
1690354432.263797045,11.4553120000,-6.1521690000,-0.2516120000,-1.9019305024,-0.0918577261,1.0115090531
1690354432.330524921,11.4553300000,-6.1528070000,-0.2512740000,-1.9014510808,-0.0903397266,1.0111151688
1690354432.397201061,11.4563950000,-6.1522130000,-0.2501910000,-1.8979994492,-0.0982916977,1.0044218694
1690354432.463982105,11.4564800000,-6.1531380000,-0.2495660000,-1.8958050075,-0.0981424054,1.0053082298
1690354432.530697107,11.4556220000,-6.1544030000,-0.2489480000,-1.8945388078,-0.0971381636,1.0091545678
1690354432.597346067,11.4550550000,-6.1548310000,-0.2486760000,-1.8936701263,-0.1015516735,1.0051044643
1690354432.663991928,11.4541770000,-6.1570050000,-0.2484770000,-1.8915512266,-0.0992751561,1.0035391404
1690354432.730629921,11.4507710000,-6.1607330000,-0.2492480000,-1.8950209480,-0.1009673486,1.0150495674
1690354432.797285080,11.4453200000,-6.1650320000,-0.2505410000,-1.8995623801,-0.1023301402,1.0358075463
1690354432.863931894,11.4418530000,-6.1674340000,-0.2520940000,-1.9055772870,-0.1094080181,1.0523147569
1690354432.930583954,11.4406090000,-6.1680130000,-0.2521190000,-1.9058445089,-0.1123702610,1.0530169111
1690354432.997221947,11.4408140000,-6.1666200000,-0.2515560000,-1.9042071191,-0.1152862765,1.0459776376
1690354433.063886881,11.4419730000,-6.1649800000,-0.2508020000,-1.9014822595,-0.1193891069,1.0374708545
1690354433.130559921,11.4415110000,-6.1637470000,-0.2503180000,-1.9006508940,-0.1207744147,1.0344152934
1690354433.197230101,11.4397050000,-6.1642100000,-0.2503270000,-1.9016523502,-0.1198493134,1.0391503935
1690354433.263925076,11.4392320000,-6.1638740000,-0.2499290000,-1.9008589418,-0.1176076569,1.0352637166
1690354433.330599070,11.4389750000,-6.1638480000,-0.2505630000,-1.9051884359,-0.1191141067,1.0356358994
1690354433.397241116,11.4390800000,-6.1634250000,-0.2512540000,-1.9064800439,-0.1168201410,1.0358229436
1690354433.463888884,11.4399340000,-6.1623020000,-0.2523610000,-1.9092091616,-0.1138323103,1.0284327372
1690354433.530544043,11.4391550000,-6.1619320000,-0.2528530000,-1.9101554546,-0.1145863811,1.0273081347
1690354433.597194910,11.4377560000,-6.1628640000,-0.2532040000,-1.9121581242,-0.1194502408,1.0337418093
1690354433.663830042,11.4356080000,-6.1648740000,-0.2535760000,-1.9132911289,-0.1171891183,1.0384499697
1690354433.730518103,11.4331430000,-6.1669180000,-0.2540360000,-1.9134722841,-0.1115474155,1.0426845632
1690354433.797156096,11.4303210000,-6.1700430000,-0.2539830000,-1.9106336121,-0.1043171819,1.0511892234
1690354433.930460930,11.4285270000,-6.1710270000,-0.2540820000,-1.9102527270,-0.1108084018,1.0423323389
