timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1693731671.608464956,3.5436520000,4.1192560000,0.0139970000,-1.7647281864,-0.0457993635,1.6289626720
1693731671.675157070,3.5446070000,4.1171260000,0.0138170000,-1.7704804437,-0.0535070042,1.6261745643
1693731671.741780996,3.5452130000,4.1146080000,0.0138120000,-1.7702917574,-0.0553720897,1.6250144749
1693731671.808417082,3.5456970000,4.1119910000,0.0134940000,-1.7728670781,-0.0552842280,1.6300647469
1693731671.875093937,3.5461910000,4.1100010000,0.0132180000,-1.7748761811,-0.0569748315,1.6291942565
1693731671.941723108,3.5462380000,4.1079620000,0.0130720000,-1.7747646585,-0.0556347911,1.6291229518
1693731672.008363962,3.5458360000,4.1065620000,0.0128910000,-1.7743120042,-0.0552695177,1.6286549339
1693731672.075011969,3.5454870000,4.1051720000,0.0122070000,-1.7772430809,-0.0568676558,1.6264406076
1693731672.141649008,3.5450490000,4.1041550000,0.0120970000,-1.7766873698,-0.0565540836,1.6259931994
1693731672.208300114,3.5452470000,4.1039340000,0.0118230000,-1.7773708271,-0.0577120461,1.6212550705
1693731672.275027037,3.5451610000,4.1054240000,0.0110480000,-1.7794565918,-0.0596953412,1.6134487418
1693731672.341669083,3.5453570000,4.1076900000,0.0106660000,-1.7780544176,-0.0585231704,1.6008135663
1693731672.408320904,3.5452930000,4.1094270000,0.0097110000,-1.7812083914,-0.0571901069,1.5892044258
1693731672.474977970,3.5447400000,4.1097040000,0.0094900000,-1.7828550897,-0.0544276634,1.5839433819
1693731672.541626930,3.5438660000,4.1092560000,0.0101310000,-1.7810671345,-0.0506771630,1.5803919357
1693731672.608284950,3.5430060000,4.1097910000,0.0100800000,-1.7805245785,-0.0484460876,1.5760230066
1693731672.674946070,3.5428390000,4.1105540000,0.0096530000,-1.7818089866,-0.0483618469,1.5714587285
1693731672.741597891,3.5429630000,4.1113450000,0.0091940000,-1.7793352902,-0.0471880564,1.5651912115
1693731672.808254957,3.5429300000,4.1117760000,0.0085880000,-1.7809542339,-0.0517458689,1.5639158392
1693731672.874916077,3.5419070000,4.1097460000,0.0088210000,-1.7747162312,-0.0446035785,1.5736342909
1693731672.941570997,3.5401160000,4.1084710000,0.0100690000,-1.7638746246,-0.0383073786,1.5798312317
1693731673.008236885,3.5389210000,4.1108020000,0.0092440000,-1.7674685456,-0.0453364389,1.5691505995
1693731673.074892044,3.5370020000,4.1128380000,0.0087170000,-1.7681572668,-0.0469067722,1.5608188079
1693731673.141550064,3.5335450000,4.1129540000,0.0077930000,-1.7677863647,-0.0529785022,1.5598936123
1693731673.208219051,3.5270210000,4.1079200000,0.0056930000,-1.7724010454,-0.0223893194,1.5755849601
1693731673.274878979,3.5182510000,4.1009350000,0.0026450000,-1.7894920037,-0.0311709318,1.5984690469
1693731673.341540098,3.5050290000,4.0995430000,0.0044550000,-1.7823400049,0.0039216307,1.5881545711
1693731673.408212900,3.4844130000,4.1035770000,0.0078080000,-1.7766857183,0.0232167064,1.5791664779
1693731673.474884033,3.4571460000,4.1141010000,0.0099370000,-1.7810758880,0.0343119765,1.5492180598
1693731673.541544914,3.4263450000,4.1260200000,0.0100160000,-1.8286966568,0.0477243974,1.5386422668
1693731673.608217955,3.3922890000,4.1392370000,0.0117070000,-1.8492207170,0.0546122139,1.5442756473
1693731673.674910069,3.3563480000,4.1542510000,0.0117700000,-1.8728140368,0.0654476630,1.5636523948
1693731673.741569996,3.3173790000,4.1712920000,0.0105570000,-1.8930650636,0.1007000656,1.5792198553
1693731673.808240891,3.2749190000,4.1886180000,0.0090240000,-1.9291641060,0.1381254857,1.6114004220
1693731673.874902964,3.2279230000,4.2082710000,0.0119370000,-1.9420280085,0.1312619725,1.6356706339
1693731673.941565990,3.1766150000,4.2285030000,0.0246600000,-1.9021802370,0.1223512706,1.6456373069
1693731674.008236885,3.1261100000,4.2488470000,0.0437110000,-1.8710109870,0.1435346570,1.6798154862
1693731674.074930906,3.0782580000,4.2714390000,0.0679520000,-1.8495321837,0.1604051951,1.6905418965
1693731674.141593933,3.0300080000,4.2943920000,0.0899780000,-1.8524091956,0.1329656773,1.6728922484
1693731674.208266020,2.9790350000,4.3126130000,0.1091210000,-1.8561987631,0.1403487780,1.6707683671
1693731674.274961948,2.9278680000,4.3280300000,0.1214920000,-1.9020091924,0.1818951402,1.6531344714
1693731674.341619015,2.8771250000,4.3418240000,0.1318840000,-1.9283838636,0.1790402077,1.6083124970
1693731674.408277035,2.8266940000,4.3510410000,0.1397080000,-1.9294988609,0.1838551073,1.6107748663
