timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1694533653.100430965,-104.3463850000,-10.3209830000,-11.6631100000,0.0810359942,0.0833369130,2.8516556980
1694533653.800628901,-104.3435380000,-10.3246730000,-11.6200990000,0.0810437436,0.0836309143,2.8511921978
1694533653.900505066,-104.3419370000,-10.3244750000,-11.6111740000,0.0798712606,0.0847783433,2.8500284853
1694533654.200329065,-104.3385580000,-10.3238840000,-11.6051990000,0.0834918377,0.0842778416,2.8512464333
1694533654.300652981,-104.3374090000,-10.3245000000,-11.6022630000,0.0839238858,0.0844879868,2.8511521142
1694533654.400233030,-104.3376930000,-10.3256570000,-11.6017950000,0.0839643412,0.0849609864,2.8509132194
1694533654.500468016,-104.3351170000,-10.3275720000,-11.5977330000,0.0803397680,0.0854871351,2.8494295160
1694533654.899548054,-104.3323180000,-10.3306330000,-11.5981060000,0.0817956553,0.0801185098,2.8503332238
1694533655.000530958,-104.3327490000,-10.3306150000,-11.5973080000,0.0806783696,0.0807242118,2.8507248906
1694533655.100544930,-104.3336520000,-10.3305370000,-11.5965710000,0.0794729124,0.0813391720,2.8507690224
1694533655.200557947,-104.3312660000,-10.3295970000,-11.5945020000,0.0808460717,0.0816429749,2.8506975552
1694533655.300458908,-104.3312370000,-10.3281790000,-11.5889280000,0.0791782809,0.0823585493,2.8494765171
1694533655.700475931,-104.3244970000,-10.3214950000,-11.5835500000,0.0860971152,0.0793747252,2.8508543933
1694533655.900485992,-104.3210720000,-10.3194700000,-11.5817400000,0.0882298410,0.0782861635,2.8518598703
1694533656.000778913,-104.3216170000,-10.3258570000,-11.5807550000,0.0856604014,0.0773209671,2.8535114345
1694533656.200340986,-104.3244890000,-10.3257680000,-11.5784100000,0.0769338068,0.0801997623,2.8496872440
1694533656.499598980,-104.3240770000,-10.3203100000,-11.5788520000,0.0879431131,0.0801813965,2.8509183129
1694533656.700759888,-104.3261220000,-10.3254850000,-11.5794750000,0.0795259483,0.0798125329,2.8490443062
1694533656.900631905,-104.3250920000,-10.3246050000,-11.5804180000,0.0759431742,0.0809333884,2.8482082756
1694533657.300826073,-104.3215140000,-10.3042300000,-11.5835390000,0.0732070155,0.0790527253,2.8504666360
1694533657.500528097,-104.3130110000,-10.2717970000,-11.5867820000,0.0692505832,0.0791476675,2.8508577782
1694533657.600615978,-104.3063300000,-10.2394960000,-11.5854940000,0.0685336990,0.0797920528,2.8497601682
1694533657.800262928,-104.2875270000,-10.1571290000,-11.5852080000,0.0649913166,0.0787061647,2.8663701042
