timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1693922456.299887896,-91.0670360000,-8.6862020000,-11.3314140000,0.0230984833,-0.0384448734,-1.3759630424
1693922456.400213003,-91.0679140000,-8.6894220000,-11.3010360000,0.0231437623,-0.0378789607,-1.3765240191
1693922456.499845028,-91.0679910000,-8.6908330000,-11.2798820000,0.0231208894,-0.0373590457,-1.3765511912
1693922456.599809885,-91.0672920000,-8.6930080000,-11.2694670000,0.0235165986,-0.0364255152,-1.3767648963
1693922456.699657917,-91.0656090000,-8.6961170000,-11.2665660000,0.0236171137,-0.0355906616,-1.3764826430
1693922456.799810886,-91.0650490000,-8.6971300000,-11.2640490000,0.0236578768,-0.0356298013,-1.3765119885
1693922456.899956942,-91.0657340000,-8.7007610000,-11.2625380000,0.0238082904,-0.0358889148,-1.3763053733
1693922456.999938965,-91.0651580000,-8.6989450000,-11.2645160000,0.0244499904,-0.0351805522,-1.3765646649
1693922457.099903107,-91.0655470000,-8.6960850000,-11.2607930000,0.0242877050,-0.0358604987,-1.3765064748
1693922457.199564934,-91.0649140000,-8.6990910000,-11.2624170000,0.0242051341,-0.0375399585,-1.3765707198
1693922457.299808979,-91.0665410000,-8.7009830000,-11.2637960000,0.0245492557,-0.0382889777,-1.3768347157
1693922457.399826050,-91.0668000000,-8.6998750000,-11.2624280000,0.0257444876,-0.0384155511,-1.3771191138
1693922457.499968052,-91.0664060000,-8.6983240000,-11.2614690000,0.0260381809,-0.0395599822,-1.3770147395
1693922457.599843979,-91.0636030000,-8.6969030000,-11.2672430000,0.0252117221,-0.0395045581,-1.3764588325
1693922457.699590921,-91.0585680000,-8.6943480000,-11.2705750000,0.0245442363,-0.0386962481,-1.3765432055
1693922457.800107956,-91.0507440000,-8.6908000000,-11.2749600000,0.0182341579,-0.0403397106,-1.3763043937
1693922457.899780989,-91.0473120000,-8.6953350000,-11.2825240000,0.0147331383,-0.0382809903,-1.3775102347
1693922457.999917984,-91.0474680000,-8.6934220000,-11.2844770000,0.0122618141,-0.0388660098,-1.3779560197
1693922458.099828959,-91.0473270000,-8.6964380000,-11.2839950000,0.0153644257,-0.0395869942,-1.3782685717
1693922458.199887037,-91.0491050000,-8.6963680000,-11.2831080000,0.0175355332,-0.0398063076,-1.3784619064
