timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1509348797.160415888,0.0514009185,-0.0382578112,1.7901519537,0.0229949985,-0.0511242805,-0.0012910917
1509348797.860934973,0.1184051037,0.0110680740,1.7706701756,-0.0225956356,-0.0063211610,-0.0166739166
1509348797.961076975,0.1318015754,0.0217140820,1.7765605450,-0.0370860769,0.0054951297,-0.0255593589
1509348798.061121941,0.1540214419,0.0431550182,1.7689518929,-0.0545570004,0.0171905919,-0.0346361970
1509348798.161183119,0.1623546928,0.0857658386,1.7542186975,-0.0799920728,0.0265859620,-0.0410944873
1509348798.261303902,0.1539317966,0.1498460174,1.7361193895,-0.1086659091,0.0321140246,-0.0417282844
1509348798.361377954,0.1348779649,0.1900325865,1.7329041958,-0.1466515852,0.0404615566,-0.0292506190
1509348798.461415052,0.2058546096,0.2239399999,1.7469927073,-0.1729730022,0.0496856332,-0.0263361477
1509348798.561690092,0.1551562101,0.2982791066,1.7613140345,-0.1964697327,0.0534381952,-0.0249380400
1509348798.661804914,0.1195282191,0.3431045711,1.7753155231,-0.2178598379,0.0469930401,0.0032210410
1509348798.761814117,0.0971461758,0.4901165366,1.8208361864,-0.2236252782,0.0155147752,0.0354505371
1509348798.862020969,0.0997719094,0.5097832680,1.8945437670,-0.1873524058,-0.0268570844,0.0435974885
1509348798.961864948,0.0818365216,0.5441813469,1.8872960806,-0.1353502854,-0.0622425645,0.0276293674
1509348799.061978102,-0.0262748078,0.6559375525,1.8215132952,-0.1142369106,-0.0838955643,0.0290619752
1509348799.162053108,-0.0611359291,0.7176073194,1.8095638752,-0.1138656154,-0.0929424228,0.0438270639
1509348799.262188911,-0.0326059684,0.7590795755,1.8084831238,-0.1033992116,-0.0977474456,0.0464411375
1509348799.362266064,0.0070314151,0.7681052685,1.8142147064,-0.0663773957,-0.0841213829,0.0115525849
1509348799.462315083,-0.0356795751,0.8768784404,1.8467074633,-0.0057451566,-0.0521520759,-0.0119291356
1509348799.562381983,-0.0960413590,1.0806875229,1.7746987343,0.0219064232,-0.0235698607,-0.0138377948
1509348799.662764072,-0.1909916550,1.1765654087,1.7889341116,0.0113176762,-0.0155979480,0.0178112606
1509348799.762573004,-0.1296334267,1.2671071291,1.7881010771,0.0048296775,-0.0090827271,0.0422719901
1509348799.862675905,-0.1521182656,1.3883609772,1.7936191559,-0.0018784048,-0.0191025986,0.0505623621
1509348799.962765932,-0.2948882282,1.5276470184,1.8037176132,0.0144329811,-0.0326390330,0.0777537602
