timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1509348833.091089964,-12.1478424072,44.0153465271,1.7730153799,-0.1039743831,-0.1165685620,0.1792373180
1509348833.191292048,-12.1971006393,44.1642951965,1.7459099293,-0.1141905164,-0.1155438671,0.1660535650
1509348833.291290998,-12.2461881638,44.3143692017,1.6806160212,-0.1013557946,-0.1172197929,0.1565774040
1509348833.391391993,-12.3104496002,44.4620132446,1.7140291929,-0.0576117532,-0.1299459524,0.1246816902
1509348833.491450071,-12.3304338455,44.5810241699,1.7665882111,-0.0539059651,-0.1474772240,0.0991764237
1509348833.591674089,-12.3252687454,44.6607360840,1.7822235823,-0.0687245111,-0.1413165906,0.0906828472
1509348833.691656113,-12.3155670166,44.7737541199,1.7670775652,-0.0881615358,-0.1286150961,0.0982047364
1509348833.891897917,-12.3395767212,44.9848098755,1.7398475409,-0.0547748335,-0.0727228829,0.0994823394
1509348833.991921902,-12.3705663681,45.1298561096,1.7510602474,-0.0500663119,-0.0583586864,0.1301527469
1509348834.092096090,-12.3772668839,45.2936286926,1.7585159540,-0.0740576247,-0.0708615815,0.1524209297
1509348834.192292929,-12.4084444046,45.4442291260,1.7565765381,-0.0924774349,-0.0798360033,0.1574453624
1509348834.292156935,-12.4460067749,45.5695114136,1.7434613705,-0.0935930125,-0.0789540302,0.1597171431
1509348834.392252922,-12.4805183411,45.7412757874,1.6765838861,-0.0625417680,-0.0912840068,0.1587621279
1509348834.492342949,-12.5478906631,45.8987388611,1.7365440130,-0.0327462210,-0.1046144569,0.1314699539
1509348834.592456102,-12.5854921341,45.9908561707,1.7802667618,-0.0409108100,-0.1076898799,0.1067556760
1509348834.692532063,-12.5904998779,46.0765151978,1.7775828838,-0.0638196569,-0.0985216940,0.1057834879
1509348834.792660952,-12.5809278488,46.2355499268,1.7715353966,-0.0787059630,-0.0807484638,0.1122547837
1509348834.892725945,-12.6074714661,46.3810997009,1.7376396656,-0.0647526940,-0.0495264018,0.1036001524
1509348834.992816925,-12.6047716141,46.4647674561,1.7260805368,-0.0330869684,-0.0318708896,0.1023393615
1509348835.092876911,-12.6375217438,46.5701332092,1.7365932465,-0.0497836115,-0.0486951542,0.1136902767
1509348835.193023920,-12.6570148468,46.7147789001,1.7487705946,-0.0692655741,-0.0678961205,0.1252130819
1509348835.293052912,-12.6943273544,46.8888854980,1.7508540154,-0.0829519949,-0.0722046096,0.1241962295
1509348835.393156052,-12.7398433685,47.0289421082,1.7320015430,-0.0796377118,-0.0699045139,0.1176365677
1509348835.493272066,-12.7864990234,47.1748313904,1.7554749250,-0.0381050307,-0.0795465037,0.1036388997
1509348835.593374968,-12.8077039719,47.2740554810,1.7593139410,-0.0366124784,-0.0879764514,0.0925097352
1509348835.693521976,-12.8237085342,47.3712806702,1.7970929146,-0.0589522110,-0.0764454937,0.0898546103
1509348835.793529987,-12.8272752762,47.5130615234,1.7644549608,-0.0892290001,-0.0534479790,0.0932126558
1509348835.893591881,-12.8464841843,47.6865844727,1.7815614939,-0.1013417728,-0.0374776867,0.0903652834
1509348835.993727922,-12.8820819855,47.7964553833,1.7777991295,-0.0763404355,-0.0251253098,0.0797587140
1509348836.093776941,-12.8872184753,47.8954467773,1.7298121452,-0.0658167797,-0.0182643251,0.0877939833
1509348836.193808079,-12.9031963348,48.0238075256,1.7498522997,-0.0848250534,-0.0361458091,0.1113223692
1509348836.293843985,-12.9126310349,48.1517448425,1.7469426394,-0.1000361007,-0.0541532870,0.1234436373
1509348836.394242048,-12.9519023895,48.3168716431,1.7715023756,-0.1099609273,-0.0529565510,0.1244246487
1509348836.494046926,-12.9874963760,48.4382171631,1.7214540243,-0.0924118640,-0.0512762413,0.1224676461
1509348836.594522953,-13.0306997299,48.5962257385,1.7424197197,-0.0317102960,-0.0708387743,0.1083951320
1509348836.694250107,-13.0553617477,48.7091636658,1.7392189503,-0.0258870863,-0.0812714380,0.0930981898
1509348836.794311047,-13.0730667114,48.8046836853,1.7754694223,-0.0519125106,-0.0771782680,0.0918930839
1509348836.894355059,-13.0796508789,48.9307174683,1.7587922812,-0.0776609593,-0.0630969747,0.1022289508
1509348836.994446039,-13.0791816711,49.1111793518,1.7875803709,-0.0810834085,-0.0444689985,0.1063665067
1509348837.094523907,-13.0838632584,49.2217979431,1.7827188969,-0.0459983479,-0.0212004378,0.1017650278
1509348837.194657087,-13.1021289825,49.3360519409,1.7188006639,-0.0421264635,-0.0161995717,0.1068204061
1509348837.294838905,-13.0992012024,49.4721336365,1.7508211136,-0.0622018561,-0.0329416930,0.1286131074
1509348837.394889116,-13.1066474915,49.6018218994,1.7458919287,-0.0777038879,-0.0421775774,0.1363595662
1509348837.494910955,-13.1422433853,49.7729110718,1.7627249956,-0.0884734549,-0.0434581825,0.1337336613
1509348837.595138073,-13.1824445724,49.9024276733,1.7217520475,-0.0770156499,-0.0514187092,0.1263100895
1509348837.695128918,-13.2319526672,50.0827827454,1.7643666267,-0.0313510119,-0.0729514025,0.1025631989
1509348837.795178890,-13.2305002213,50.1770286560,1.7469156981,-0.0343238484,-0.0819266525,0.0824183748
1509348837.895301104,-13.2309808731,50.3056373596,1.7648117542,-0.0581494358,-0.0771429178,0.0789812644
1509348837.995353937,-13.2149982452,50.4356384277,1.7686563730,-0.0838929361,-0.0575707013,0.0820413477
1509348838.095669031,-13.2288455963,50.5973205566,1.7945137024,-0.0667149563,-0.0367475216,0.0744409399
1509348838.195502996,-13.2076454163,50.6958122253,1.7563583851,-0.0154311419,-0.0140632701,0.0636230838
1509348838.295620918,-13.2387590408,50.7997589111,1.7359648943,-0.0263446931,-0.0106838977,0.0740588621
1509348838.395804882,-13.1891946793,50.9356918335,1.7702858448,-0.0423777456,-0.0204216409,0.0884400110
1509348838.495835066,-13.2126474380,51.1161117554,1.7571283579,-0.0492688179,-0.0219313410,0.0802426563
1509348838.595985889,-13.2468757629,51.2526817322,1.8069317341,-0.0469468968,-0.0250016731,0.0584968869
1509348838.696005106,-13.2758083344,51.3811836243,1.8038897514,-0.0101761062,-0.0411002833,0.0446405391
1509348838.796020031,-13.2909164429,51.4738502502,1.7569322586,0.0173565980,-0.0595447101,0.0179517577
1509348838.896147013,-13.3200445175,51.5663604736,1.7619687319,0.0061863480,-0.0576253191,0.0123215190
1509348838.996211052,-13.2984809875,51.6733779907,1.7544795275,-0.0095779453,-0.0304461725,0.0210243185
1509348839.096326113,-13.2844209671,51.8137893677,1.7574840784,-0.0235053777,-0.0090030494,0.0260143953
1509348839.196435928,-13.2635345459,51.9781303406,1.7978167534,-0.0138875640,0.0051187176,0.0230471353
1509348839.296530962,-13.3284482956,52.0841560364,1.7229669094,-0.0000449826,0.0223905878,0.0114336925
1509348839.396600962,-13.3469772339,52.2099456787,1.7293642759,-0.0177677866,0.0260865523,0.0279634923
1509348839.496673107,-13.3015317917,52.3099975586,1.7611099482,-0.0304980930,0.0198588069,0.0474437237
1509348839.596755981,-13.2910299301,52.4628410339,1.7394677401,-0.0454871372,0.0120449058,0.0491263336
1509348839.696816921,-13.3646068573,52.5947799683,1.7935105562,-0.0470454795,-0.0017304959,0.0525672944
1509348839.796941996,-13.3464212418,52.7253837585,1.8647687435,-0.0015082169,-0.0201985088,0.0618177571
1509348839.897017956,-13.3837385178,52.8424949646,1.7736573219,0.0282434048,-0.0338414805,0.0517420722
1509348839.997174025,-13.4144763947,52.9280586243,1.7391568422,0.0144373209,-0.0416633375,0.0522120907
1509348840.097237110,-13.4368534088,53.0493545532,1.7363965511,-0.0042555880,-0.0385848272,0.0633851395
1509348840.197282076,-13.4003944397,53.1662330627,1.7199571133,-0.0227362937,-0.0280565155,0.0759557389
1509348840.297458887,-13.3758525848,53.3580703735,1.7637083530,-0.0329123519,-0.0075492549,0.0724779557
1509348840.397419930,-13.3833999634,53.4941406250,1.7782839537,-0.0141963413,0.0139975081,0.0574270669
1509348840.497530937,-13.4138755798,53.5911331177,1.7304339409,-0.0209399925,0.0147516912,0.0547042358
1509348840.597632885,-13.4026603699,53.6981964111,1.7404506207,-0.0442735760,-0.0029844544,0.0625244724
1509348840.697714090,-13.3974218369,53.8684425354,1.7268649340,-0.0697400088,-0.0148959465,0.0558717192
1509348840.797822952,-13.4542417526,54.0303306580,1.7611542940,-0.0922487174,-0.0311857551,0.0345437782
1509348840.897923946,-13.4938106537,54.1322250366,1.8475068808,-0.0729713642,-0.0504624624,0.0291161460
1509348840.998012066,-13.5056047440,54.2842063904,1.8251152039,-0.0248296335,-0.0761832561,0.0148201062
1509348841.098051071,-13.5304908752,54.3709983826,1.7536793947,-0.0231455426,-0.0822355177,0.0058036211
1509348841.198132992,-13.5630598068,54.4788589478,1.7314320803,-0.0469550745,-0.0757448835,0.0065755952
1509348841.298156023,-13.5516576767,54.6066017151,1.7351251841,-0.0730854996,-0.0535830428,0.0158813869
1509348841.398272991,-13.5070285797,54.7874412537,1.7896147966,-0.0759504865,-0.0319909680,0.0124874806
1509348841.498483896,-13.5678148270,54.9111671448,1.8034459352,-0.0475315010,-0.0112674910,0.0082657329
1509348841.598598003,-13.6246271133,55.0224418640,1.7450101376,-0.0415959454,-0.0057486729,0.0271027034
1509348841.698590040,-13.6438007355,55.1587905884,1.7696676254,-0.0534766968,-0.0286410528,0.0634116754
1509348841.798641920,-13.6135864258,55.2719230652,1.7474400997,-0.0644284904,-0.0430446414,0.0819766768
1509348841.898730993,-13.6230983734,55.4195251465,1.7521287203,-0.0742444103,-0.0571809812,0.0901874948
1509348841.998944044,-13.6870880127,55.5508232117,1.7996126413,-0.0613449018,-0.0751787257,0.0978628978
1509348842.098826885,-13.6497049332,55.7455558777,1.8005816936,-0.0467254981,-0.0819898408,0.0906431534
1509348842.198987961,-13.6720142365,55.8342437744,1.7589530945,-0.0586956621,-0.0849752959,0.0743192706
1509348842.299011946,-13.7285757065,55.9563217163,1.7572790384,-0.0837960490,-0.0784149491,0.0648256195
1509348842.399147987,-13.7231693268,56.0909805298,1.7370005846,-0.1081136400,-0.0680894148,0.0663796702
1509348842.499279976,-13.6952934265,56.2777938843,1.7970122099,-0.1160464943,-0.0497975808,0.0594212574
1509348842.599370003,-13.7222042084,56.3950004578,1.8489778042,-0.0772357143,-0.0259561522,0.0463636256
1509348842.699363947,-13.7093648911,56.5277061462,1.7696503401,-0.0586591576,-0.0087979337,0.0397247167
1509348842.799592018,-13.6931591034,56.6424713135,1.7971680164,-0.0702470935,-0.0285220603,0.0378186387
1509348842.899564028,-13.7116661072,56.7940864563,1.7453505993,-0.0871729981,-0.0483150544,0.0261253617
1509348842.999681950,-13.7537536621,56.9509963989,1.7594717741,-0.1064392039,-0.0558783006,0.0128369914
1509348843.099797964,-13.7772445679,57.0720672607,1.8348523378,-0.0887469763,-0.0663448278,0.0107851558
1509348843.199906111,-13.7697095871,57.2399864197,1.8045966625,-0.0646055930,-0.0733279867,-0.0020617604
1509348843.299910069,-13.7729158401,57.3568496704,1.7691255808,-0.0748790583,-0.0748314484,-0.0143687460
1509348843.400007963,-13.7990531921,57.4663543701,1.7633420229,-0.0988159455,-0.0661950777,-0.0234056971
1509348843.500152111,-13.7662096024,57.6113891602,1.7676863670,-0.1215407781,-0.0488019754,-0.0243620734
1509348843.600137949,-13.7356605530,57.8132362366,1.8376507759,-0.1153727914,-0.0344473470,-0.0390173763
1509348843.700273037,-13.7250165939,57.9006462097,1.8488620520,-0.0718553459,-0.0117882335,-0.0582308355
1509348843.800390959,-13.8000402451,58.0050735474,1.7830561399,-0.0619954169,-0.0110063582,-0.0543215249
1509348843.900465012,-13.7688703537,58.1333618164,1.8034238815,-0.0738850242,-0.0353159084,-0.0340203416
1509348844.000479937,-13.7348546982,58.2678489685,1.7762527466,-0.0889601156,-0.0473557482,-0.0272381598
1509348844.100651979,-13.7168235779,58.4377861023,1.8018751144,-0.0945971736,-0.0521227241,-0.0304190527
1509348844.200711012,-13.7236204147,58.5661544800,1.8670634031,-0.0581032566,-0.0634142230,-0.0380092808
1509348844.300805092,-13.7652750015,58.6932868958,1.7967853546,-0.0296129646,-0.0654558342,-0.0535185473
1509348844.400886059,-13.8049364090,58.7982215881,1.7579239607,-0.0506692390,-0.0577215802,-0.0508084900
1509348844.500930071,-13.8379745483,58.9336128235,1.7741163969,-0.0804897203,-0.0416765523,-0.0290629535
1509348844.601042032,-13.7526912689,59.0633621216,1.7812181711,-0.0982680188,-0.0231677682,-0.0100516398
1509348844.701129913,-13.6751890182,59.2322196960,1.8482789993,-0.0875483814,-0.0162170817,-0.0140294175
1509348844.801201105,-13.7546110153,59.3312301636,1.8428725004,-0.0488327239,-0.0050653585,-0.0218763893
1509348844.901278973,-13.7136068344,59.4503364563,1.7897214890,-0.0309206440,0.0058828374,-0.0184626282
1509348845.001411915,-13.6794157028,59.5629158020,1.8125190735,-0.0372072283,-0.0031670998,-0.0138185991
