timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
0,0.0000000000,0.0000000000,0.0000000000,0.0722420000,0.0015660000,-0.2697266732
1,1.1308381770,-0.3215897637,-0.0026473999,0.0731390000,-0.0001240000,-0.2696086732
2,2.1630128466,-0.6120286604,0.0022277832,0.0697700000,0.0025270000,-0.2696576732
3,3.1925995016,-0.9043430674,0.0059814453,0.0692800000,0.0066790000,-0.2695066732
4,4.3249810987,-1.2281291644,0.0052947998,0.0687830000,0.0088220000,-0.2691476732
5,5.3522437298,-1.5206920371,0.0011367798,0.0691350000,0.0094720000,-0.2689336732
6,6.4808117265,-1.8414083878,-0.0046768189,0.0701040000,0.0086570000,-0.2686856732
7,7.5114225674,-2.1281678415,-0.0129623413,0.0697600000,0.0075240000,-0.2685406732
8,8.5504583501,-2.4075385757,-0.0215988159,0.0692250000,0.0068120000,-0.2684706732
9,9.6931458733,-2.7130997800,-0.0297317505,0.0681240000,0.0064680000,-0.2682586732
10,10.7235671145,-3.0021780186,-0.0327377319,0.0674800000,0.0074090000,-0.2681186732
11,11.7494811752,-3.3148746906,-0.0291748047,0.0677770000,0.0081930000,-0.2681476732
12,12.8694975944,-3.6453862664,-0.0303726196,0.0660470000,0.0077020000,-0.2681456732
13,13.8849312367,-3.9509953379,-0.0295333862,0.0670090000,0.0071220000,-0.2682426732
14,14.8963757423,-4.2495962905,-0.0294036865,0.0667050000,0.0081940000,-0.2680556732
15,16.0040125770,-4.5759529784,-0.0288009644,0.0664770000,0.0095690000,-0.2679066732
16,17.0062738518,-4.8690342660,-0.0307388306,0.0667270000,0.0100100000,-0.2677236732
17,18.0052307569,-5.1619336571,-0.0336914062,0.0695940000,0.0105770000,-0.2675866732
18,19.0988588926,-5.4834038633,-0.0373840332,0.0685570000,0.0096890000,-0.2674996732
19,20.0896708380,-5.7706649226,-0.0433349609,0.0675530000,0.0065290000,-0.2675546732
20,21.0746678860,-6.0569693016,-0.0490493775,0.0691420000,0.0053590000,-0.2672316732
21,22.1582289099,-6.3673828118,-0.0486679077,0.0655340000,0.0069400000,-0.2673756732
