timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1644824097.448929787,61.9613118142,119.5932254449,7.6961617953,-3.1295775753,0.0555415857,-2.3331131448
1644824097.550376654,61.9617372382,119.5932725638,7.6967800117,-3.1268341783,0.0547474408,-2.3330998989
1644824097.651043892,61.9618488910,119.5937563226,7.6976993798,-3.1315186717,0.0559393584,-2.3323561570
1644824097.748594284,61.9611609237,119.5945384825,7.6989056196,-3.1281920235,0.0566844640,-2.3330728856
1644824097.848892927,61.9606046295,119.5952474190,7.7004516660,-3.1275514070,0.0559233439,-2.3329578466
1644824097.949109077,61.9605603508,119.5956289988,7.7019716362,-3.1300548406,0.0554491644,-2.3336218467
1644824098.050127268,61.9612341036,119.5958430745,7.7030770062,-3.1301624342,0.0546727324,-2.3340386897
1644824098.151633501,61.9630199007,119.5957670476,7.7033697544,-3.1285505004,0.0547493745,-2.3324036683
1644824098.248417854,61.9650428544,119.5952069605,7.7027751291,-3.1311489191,0.0566473516,-2.3333358804
1644824098.349127531,61.9666251548,119.5945542112,7.7013822705,-3.1283013707,0.0561099072,-2.3327456917
1644824098.449052095,61.9675717170,119.5943311676,7.6999607169,-3.1263458794,0.0552559509,-2.3331345137
1644824098.549675465,61.9684950902,119.5937434535,7.6990959049,-3.1313875815,0.0558962833,-2.3327716336
1644824098.648908138,61.9689405924,119.5934949127,7.6984966249,-3.1238370256,0.0551176582,-2.3335055965
1644824098.751446247,61.9675514532,119.5932583566,7.6978524565,-3.1248410813,0.0550947113,-2.3330949211
1644824098.850994825,61.9666261893,119.5918534735,7.6976861449,-3.1278272897,0.0570507574,-2.3340709432
1644824098.949189901,61.9658532056,119.5899949422,7.6982039036,-3.1277743662,0.0561111250,-2.3336755374
1644824099.048960209,61.9639348890,119.5893840763,7.6992775127,-3.1293661164,0.0567004934,-2.3325999373
1644824099.149902105,61.9626965994,119.5897904864,7.7006986235,-3.1294062712,0.0552684493,-2.3323020984
1644824099.250409365,61.9620979495,119.5896899808,7.7020709919,-3.1240678668,0.0549719797,-2.3335410156
1644824099.348966122,61.9614562568,119.5906124042,7.7032592878,-3.1277390426,0.0553263463,-2.3336418226
1644824099.450354576,61.9613808525,119.5919933177,7.7039763692,-3.1272974963,0.0560270126,-2.3337892823
1644824099.549569607,61.9622233513,119.5922561116,7.7044749691,-3.1296104186,0.0552417871,-2.3335172256
1644824099.650489807,61.9629044024,119.5921261597,7.7050555228,-3.1284732848,0.0560226533,-2.3327405322
1644824099.748238802,61.9631274937,119.5909854539,7.7058131051,-3.1262433843,0.0543795110,-2.3340584193
1644824099.849263191,61.9642436113,119.5885882237,7.7066803067,-3.1297114037,0.0542426427,-2.3329359619
1644824099.948848486,61.9648234514,119.5857202116,7.7072175876,-3.1270492615,0.0560470391,-2.3335639916
1644824100.049643040,61.9638677874,119.5838388000,7.7075319618,-3.1287083509,0.0549272355,-2.3331596302
1644824100.151291847,61.9623499271,119.5828241542,7.7077678586,-3.1275939462,0.0562012801,-2.3329652299
1644824100.248601198,61.9605349649,119.5825110708,7.7080113795,-3.1310117294,0.0556901419,-2.3331067618
1644824100.349152327,61.9585952370,119.5831135979,7.7083319659,-3.1291117897,0.0540880524,-2.3331824479
1644824100.449107647,61.9585196192,119.5832932464,7.7088216966,-3.1255769542,0.0554574162,-2.3332960883
1644824100.550007582,61.9604036263,119.5832590424,7.7093327590,-3.1287123568,0.0555706857,-2.3329701764
1644824100.651310921,61.9620247607,119.5837933085,7.7090117320,-3.1282915459,0.0561655545,-2.3327144703
1644824100.749206305,61.9630709757,119.5841491163,7.7077660612,-3.1281846128,0.0545630790,-2.3333356811
1644824100.849295616,61.9638049042,119.5841356947,7.7061600256,-3.1286697907,0.0560480658,-2.3329970743
1644824100.949896336,61.9634227154,119.5846679876,7.7045549873,-3.1234135664,0.0563188160,-2.3337183631
1644824101.050309658,61.9624311737,119.5857754017,7.7035528650,-3.1252277819,0.0548059168,-2.3332392190
1644824101.151255608,61.9616386244,119.5867545028,7.7032304525,-3.1274818474,0.0549792006,-2.3327610098
1644824101.248715401,61.9610333201,119.5883093594,7.7034834942,-3.1262339322,0.0557686590,-2.3328838994
1644824101.350070238,61.9601962405,119.5907015437,7.7042078370,-3.1253736917,0.0570734768,-2.3328859574
1644824101.449226856,61.9603968742,119.5921696950,7.7052873384,-3.1292892112,0.0547509599,-2.3330253657
1644824101.549803734,61.9616244908,119.5931112404,7.7068575422,-3.1315058394,0.0559166330,-2.3326113008
