face,row,col,igm,smoothed_intensity
+X,0,119,0.7186985992545858,0.2624708705654767
+X,0,121,0.4808689905631041,0.20646726938965337
+X,0,158,0.6117450369953125,0.17256790852452736
+X,1,119,0.6683984882055912,0.23222261518550907
+X,1,158,0.5243281281555249,0.16219513788986198
+X,2,119,0.6519198181044373,0.23125504260113577
+X,2,133,0.46785970082045314,0.2638983954594715
+X,3,119,0.6662354319288386,0.22999450563730778
+X,3,208,0.5197132352641254,0.15838665495414447
+X,4,119,0.6848961513073883,0.23513780141426074
+X,5,119,0.7283682026817218,0.22144778836742549
+X,5,131,0.4935683655276457,0.2913623610323542
+X,5,207,0.4966736461979549,0.14129644298105198
+X,6,119,0.7675370486672056,0.2018279929263048
+X,7,119,0.8059634788086664,0.18229449153479477
+X,8,120,0.4860681603191955,0.24408541850860685
+X,8,137,0.49922262519841976,0.2771896883638659
+X,8,157,0.5538666580415019,0.13081515341122488
+X,9,120,0.5079458794084609,0.2303570259125989
+X,9,134,0.5567628616753919,0.25778423949843476
+X,9,138,0.5838265658682134,0.29886778119950624
+X,9,157,0.5599840387123298,0.13792278075255687
+X,10,120,0.5093958305053751,0.21164194439094014
+X,10,133,0.5031688490623619,0.32526105213208445
+X,10,134,0.6950061085140505,0.24556038663685364
+X,10,138,0.7327777677456506,0.2741010544790389
+X,10,157,0.49159772625742254,0.13424320001848644
+X,10,161,0.4784478859437503,0.16911663360597148
+X,11,120,0.49410838201953367,0.18140618781415932
+X,11,133,0.6681552977972391,0.2703909234962772
+X,11,134,0.7373230629770979,0.19170690071008017
+X,11,137,0.7004269916107768,0.14426478662731917
+X,11,138,0.8131177609004457,0.2682681965144451
+X,12,132,0.5159340947389598,0.29371099568054587
+X,12,134,0.5315575282150914,0.13559355929904637
+X,12,138,0.771964986409003,0.2643397022656891
+X,13,122,0.47768119854477814,0.20351432244691633
+X,13,123,0.5032121838049768,0.29009098138639006
+X,13,132,0.6273983268966921,0.30621307321141844
+X,13,133,0.6954611721030179,0.19843325415869303
+X,13,136,0.5603864876517175,0.13515561714489968
+X,13,138,0.6166278973235695,0.2533355844824978
+X,14,123,0.5585354895559962,0.260458741257805
+X,14,132,0.5836722473721297,0.32242219444844705
+X,14,133,0.6685167212841399,0.2197829314720052
+X,14,135,0.6786083989019986,0.19141931647598473
+X,14,136,0.7209075755409611,0.2354891271691371
+X,14,138,0.5046339428875315,0.28167162519407174
+X,15,123,0.4699255843595316,0.22716486933383648
+X,15,133,0.5380175961187958,0.2641023472842619
+X,15,134,0.5546452480963564,0.2345121056298479
+X,15,135,0.6349038786513524,0.2794789288935529
+X,15,136,0.5148067087738066,0.32417378050783296
+X,16,150,0.48817017224720227,0.24772213933793893
+X,16,156,0.4849633510611125,0.13763420860027348
+X,17,150,0.5150698023582768,0.252196433728733
+X,17,156,0.5315465029150594,0.14616248416966948
+X,18,120,0.5408895877160674,0.17109374208620465
+X,18,150,0.5045752966353123,0.25432157793021
+X,18,156,0.5419291993789357,0.1517160025076364
+X,19,150,0.4796358955446598,0.25745890774294744
+X,19,156,0.5070744722831896,0.150765792472269
+X,20,120,0.7407375469314599,0.20185661743441288
+X,21,120,0.7681492341980748,0.23302625158197887
+X,22,120,0.7693084413906983,0.23476527427665272
+X,23,120,0.716518495127378,0.2180554715519207
+X,23,156,0.48053659659898734,0.11337621510440317
+X,23,159,0.46884335512906566,0.13740603673590707
+X,24,120,0.6251515328377076,0.18876745624771898
+X,24,159,0.5730128387618859,0.15837309630686494
+X,24,194,0.4721970194244631,0.12136485823649436
+X,25,120,0.6199669314986068,0.1761572081241303
+X,25,155,0.5502017217736334,0.10522194970275381
+X,25,159,0.6482996565534946,0.17357497900142546
+X,26,120,0.6940004203825964,0.17223093908496018
+X,26,136,0.4988997392190615,0.26777573238840063
+X,26,155,0.5523754433306594,0.10035704309762797
+X,26,159,0.640349326454277,0.17344840743728596
+X,27,120,0.7300230192971257,0.17527702172137957
+X,27,133,0.5269777300812432,0.20329379137113004
+X,27,135,0.4736639171371643,0.17080759923007896
+X,27,136,0.6187112438992953,0.2517199808352631
+X,27,149,0.564089441929087,0.2794082106420959
+X,27,155,0.5590511486409565,0.10320500699000015
+X,28,120,0.6971170605250816,0.19438922425961427
+X,28,132,0.5028966442755023,0.22525672208836953
+X,28,136,0.7164678973035807,0.23905107140345389
+X,28,149,0.6086123780488892,0.284889993658645
+X,28,155,0.5456375834133678,0.1017702338023478
+X,28,162,0.5006529258886869,0.16105443017416285
+X,29,120,0.6454053567927147,0.20276865284484577
+X,29,135,0.5713361400658823,0.12554867897770913
+X,29,136,0.7422030739493618,0.23146899793775916
+X,29,149,0.6139585437554241,0.28907367230263986
