frame,path,points,sampled_points,lambda1,lambda2,lambda3,linearity,planarity,scattering,degeneracy_score,range_mean_m,range_p95_m,intensity_mean,intensity_std,intensity_p05,intensity_p95
0,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000000/cloud.pcd,43066,14356,3.386978753337875,1.0267921660575974,0.5250641738853993,0.6968412733484993,0.1481343783682564,0.1550243482832443,0.6968412733484993,1.8930119214761856,4.325819499028711,3235.0671527423024,2923.697135031882,43.0,8183.0
1,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000001/cloud.pcd,42982,14328,3.3486668026909863,1.0296921051335501,0.5299994076655715,0.692506849500198,0.1492213847810794,0.15827176571872256,0.692506849500198,1.8954172862389307,4.319490167385058,3236.21485738216,2922.683465513924,44.0,8180.0
2,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000002/cloud.pcd,42962,14321,3.325821531975836,1.0377235195193968,0.5362861859267634,0.6879797940020864,0.15077096854765226,0.1612492374502613,0.6879797940020864,1.8966272692614075,4.316461427720737,3233.0187607653274,2923.0165494257017,43.0,8180.0
3,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000003/cloud.pcd,43124,14375,3.389517047815204,1.0419968430198152,0.5304333544372931,0.6925825041383228,0.15092518531873525,0.15649231054294208,0.6925825041383228,1.8950147699425066,4.312096414570051,3219.077404693442,2923.9235218626495,42.0,8192.0
4,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000004/cloud.pcd,43126,14376,3.403449270999465,1.0332840173506037,0.5295572239342309,0.6964009347354935,0.14800478964343347,0.15559427562107306,0.6964009347354935,1.8959867285185168,4.312738762674881,3217.7982887353337,2925.8552351617864,43.0,8193.0
5,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000005/cloud.pcd,43026,14342,3.433826192880021,1.0298258562855431,0.5284191625815559,0.7000937734062169,0.14601982323498067,0.15388640335880244,0.7000937734062169,1.8972571034780672,4.310084760670502,3218.811997396923,2927.7346359436888,43.0,8200.0
6,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000006/cloud.pcd,43022,14341,3.4365709608640387,1.0391330389311761,0.5329149267365796,0.6976250306584932,0.1473032618733765,0.1550717074681303,0.6976250306584932,1.901973707206914,4.313955006457173,3214.3231369996747,2926.8161654741984,43.05000000000018,8204.0
7,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000007/cloud.pcd,43096,14366,3.443748088867655,1.0357814291067293,0.5314082962424703,0.6992284562117008,0.1464605191345755,0.15431102465372362,0.6992284562117008,1.9010513344737425,4.3099958976287,3203.120127157973,2927.0034850748916,43.0,8209.0
8,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000008/cloud.pcd,43109,14370,3.40877552024659,1.0296729349153393,0.5343597804582727,0.6979346604669194,0.14530530142425915,0.15676003810882133,0.6979346604669194,1.8960482498897375,4.315105266745361,3194.5894128836208,2924.9788171635864,42.0,8200.0
9,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000009/cloud.pcd,42976,14326,3.4299864376950504,1.0254992670235539,0.5315316483906769,0.7010194396824819,0.14401445242005767,0.15496610789746038,0.7010194396824819,1.8975756681177964,4.304722095959264,3196.1983897989576,2924.0541052178337,44.0,8210.25
10,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000010/cloud.pcd,42991,14331,3.2765711150173837,1.023197187125317,0.5333465068145693,0.6877231864629044,0.14950100672792777,0.16277580680916784,0.6877231864629044,1.8865600310151218,4.298984235323473,3185.0651299109118,2920.915269894255,44.0,8207.0
11,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000011/cloud.pcd,42968,14323,3.2981675256190606,1.0342793845602898,0.5351843573841155,0.6864078684522984,0.15132494735315027,0.16226718419455127,0.6864078684522984,1.8903310510743363,4.302944340290359,3179.8689257121578,2919.681278353971,43.0,8209.0
12,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000012/cloud.pcd,42953,14318,3.3575461478567954,1.0332037697164447,0.5338060165382793,0.6922741418234969,0.14873890966381603,0.15898694851268713,0.6922741418234969,1.8903067905996191,4.288712321292859,3174.8284171070704,2917.3789937182446,42.0,8203.0
13,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000013/cloud.pcd,42806,14269,3.2926748044066256,1.0336102149222182,0.5313844556604376,0.6860879751808695,0.15252819944127063,0.1613838253778598,0.6860879751808695,1.8913321812072221,4.300747704163159,3178.0074522263235,2911.630541820096,43.0,8193.0
14,/mnt/e/datasets/loc_zoo/dogfooding_results/lidar_degeneracy_fog_full/00000014/cloud.pcd,42836,14279,3.271593348244731,1.026737732776202,0.5322705566939118,0.6861658453587866,0.1511395590615138,0.1626945955796996,0.6861658453587866,1.888820769623553,4.300262127180371,3170.576057521711,2909.1209676461167,43.0,8191.0
