frame,path,points,sampled_points,lambda1,lambda2,lambda3,linearity,planarity,scattering,degeneracy_score,range_mean_m,range_p95_m,intensity_mean,intensity_std,intensity_p05,intensity_p95
0,dogfooding_results/lidar_degeneracy_tunnel_full/00000000/cloud.pcd,39727,19864,46.622658499950305,16.95888283248216,3.860515583434932,0.6362523421417455,0.28094423764061394,0.08280342021764046,0.6362523421417455,6.64838468311584,14.757624693466301,1828.0276386336748,1500.7194373209866,59.0,4726.399999999994
1,dogfooding_results/lidar_degeneracy_tunnel_full/00000001/cloud.pcd,39760,19880,46.87789833359696,16.956443073549373,3.8542535178433304,0.6382849130120485,0.27949609563267946,0.08221899135527205,0.6382849130120485,6.648751441140215,14.76325408618541,1825.3958249496982,1500.0645693053298,54.0,4731.0
2,dogfooding_results/lidar_degeneracy_tunnel_full/00000002/cloud.pcd,39776,19888,46.36169789796403,16.978547412119756,3.8520952173740928,0.633780724565194,0.2831313948776262,0.08308788055717989,0.633780724565194,6.641546146756719,14.75556207852873,1824.212691069992,1499.620820576547,54.0,4728.25
3,dogfooding_results/lidar_degeneracy_tunnel_full/00000003/cloud.pcd,39771,19886,47.42164791875139,16.992142394002453,3.861823467811652,0.6416796307223341,0.27688449268332643,0.08143587659433944,0.6416796307223341,6.666847196555485,14.793986019765235,1823.62736667421,1499.201465433771,55.0,4725.0
4,dogfooding_results/lidar_degeneracy_tunnel_full/00000004/cloud.pcd,39796,19898,47.10411881488438,16.963291020159758,3.8593338332620992,0.6398766934410937,0.27819132416838577,0.08193198239052064,0.6398766934410937,6.649375696732342,14.756615127768791,1822.1518243039502,1498.910325621462,52.0,4727.0
5,dogfooding_results/lidar_degeneracy_tunnel_full/00000005/cloud.pcd,39765,19883,47.10257614069324,16.97449653110808,3.8645483424979137,0.6396270029816196,0.2783276258489844,0.08204537116939602,0.6396270029816196,6.655190221769451,14.737001605075978,1823.3787501571735,1498.7315222040368,53.0,4716.799999999996
6,dogfooding_results/lidar_degeneracy_tunnel_full/00000006/cloud.pcd,39803,19902,46.44050665128091,16.96401997560663,3.8568391900608807,0.6347150106912383,0.2822359558642806,0.08304903344448121,0.6347150106912383,6.6416879355824765,14.765239015429175,1823.0110544431325,1498.7508587826253,51.0,4721.9000000000015
7,dogfooding_results/lidar_degeneracy_tunnel_full/00000007/cloud.pcd,39744,19872,47.085377372165254,16.961702875364118,3.852118821489499,0.6397670822238942,0.2784215564474675,0.08181136132863825,0.6397670822238942,6.652113956659481,14.784230633976222,1825.51182568438,1497.7999868087015,56.0,4725.8499999999985
8,dogfooding_results/lidar_degeneracy_tunnel_full/00000008/cloud.pcd,39723,19862,46.477619846198245,16.96844986654966,3.853837816404323,0.6349113848191683,0.28217047459709965,0.0829181405837321,0.6349113848191683,6.645430777402742,14.756374508828332,1826.6778188958538,1498.14654556612,57.0,4718.9000000000015
9,dogfooding_results/lidar_degeneracy_tunnel_full/00000009/cloud.pcd,39809,19905,46.50389499442467,16.929264154228605,3.8573590190220637,0.6359602963094113,0.2810926942092426,0.08294700948134603,0.6359602963094113,6.636349412700325,14.754592530568326,1822.535758245623,1498.7793641961894,50.0,4721.5999999999985
