frame,path,points,sampled_points,lambda1,lambda2,lambda3,linearity,planarity,scattering,degeneracy_score,range_mean_m,range_p95_m,intensity_mean,intensity_std,intensity_p05,intensity_p95
0,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000000/cloud.pcd,50875,16959,32.54501899934588,9.028426174143863,3.8468824323829174,0.7225865446775335,0.15921157526025992,0.11820188006220662,0.7225865446775335,5.609758573985958,11.50814904803584,2149.819950859951,1369.9215636561178,220.0,4626.0
1,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000001/cloud.pcd,50877,16959,32.810445338654006,9.061162302613956,3.8561631944729626,0.7238329986353768,0.1586384779120624,0.11752852345256083,0.7238329986353768,5.630494336857218,11.569537374524948,2144.02696699884,1364.9471333888305,217.0,4622.0
2,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000002/cloud.pcd,50845,16949,33.350657137976754,9.085032038862042,3.868739454193951,0.7275906138438029,0.15640749035581197,0.11600189580038517,0.7275906138438029,5.654401535909977,11.683140973384727,2141.2073753564755,1362.4054310769147,219.0,4624.799999999996
3,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000003/cloud.pcd,50857,16953,33.30090836376347,9.111759944712631,3.863162641322024,0.7263810390641586,0.15761123528695967,0.11600772564888175,0.7263810390641586,5.661894539014802,11.753213317657883,2133.3160626855692,1357.2815308160712,214.0,4625.0
4,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000004/cloud.pcd,50777,16926,33.74313341909652,9.130201529307575,3.8791225616079177,0.7294204596855712,0.15561918635356703,0.1149603539608617,0.7294204596855712,5.685808449941163,11.907432261787962,2129.294030761959,1354.5016694406445,216.0,4622.199999999997
5,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000005/cloud.pcd,50829,16943,33.605826108508346,9.136990216953755,3.880943916735763,0.7281129115096967,0.1564028297726406,0.11548425871766274,0.7281129115096967,5.68254696805176,11.864062766551001,2127.640480827874,1355.8592966655851,212.0,4622.0
6,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000006/cloud.pcd,50816,16939,33.482776921800884,9.137375954365178,3.8804614859214284,0.7271022061370375,0.15700353888571691,0.11589425497724566,0.7271022061370375,5.680904620897058,11.81191817139448,2125.0919198677584,1351.5266099116661,215.75,4613.0
7,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000007/cloud.pcd,50802,16934,33.99641759255678,9.140920806645234,3.87973992318971,0.7311210576303029,0.15475692017053624,0.11412202219916091,0.7311210576303029,5.692770497230344,11.896508958742176,2123.746584780127,1350.8800046662382,212.0,4609.0
8,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000008/cloud.pcd,50817,16939,34.34378129333352,9.155450501473045,3.884913960054265,0.7334175167470505,0.15346407247363425,0.11311841077931528,0.7334175167470505,5.705268600841657,12.029823337083801,2122.559104236771,1348.720517130957,208.0,4611.0
9,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000009/cloud.pcd,50885,16962,34.35538986722614,9.156421005624876,3.8845905406197323,0.7334793451329804,0.15344988036460297,0.11307077450241652,0.7334793451329804,5.7092460376512575,11.983444259994476,2118.0976712194165,1349.9897355563041,204.0,4605.0
10,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000010/cloud.pcd,50860,16954,34.53091689278062,9.157649782014033,3.8855191106201405,0.7347985340079798,0.15267856013681866,0.1125229058552015,0.7347985340079798,5.712464667537058,12.076389702436668,2115.861423515533,1347.7990861651363,207.0,4603.0
11,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000011/cloud.pcd,50873,16958,34.6402831601071,9.165326696797884,3.881299008258169,0.735414209680798,0.15253996810929582,0.11204582220990622,0.735414209680798,5.712031961644348,12.029366580563387,2115.00098283962,1349.9006586911103,205.0,4605.399999999994
12,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000012/cloud.pcd,50832,16944,34.32797999261028,9.139969711343467,3.8839276335775716,0.7337457749243907,0.15311247789404892,0.11314174718156027,0.7337457749243907,5.70461970545938,11.985416329139602,2120.175027541706,1350.903673488402,207.55000000000018,4611.0
13,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000013/cloud.pcd,50879,16960,34.539588674328954,9.141925620898224,3.882895033900786,0.7353203679668361,0.152260950082076,0.11241868195108795,0.7353203679668361,5.7071854628154375,11.986657050950663,2114.984944672655,1350.5929114046457,197.0,4595.0
14,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000014/cloud.pcd,50876,16959,34.79187392140462,9.149252287662748,3.88194461425756,0.7370290456808665,0.15139476779273564,0.11157618652639788,0.7370290456808665,5.710064930656261,11.995856617674367,2117.0119702806824,1351.146285406788,200.0,4601.0
15,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000015/cloud.pcd,50889,16963,35.32525357696153,9.147529299143512,3.878628489306487,0.741048446284633,0.1491539416230349,0.10979761209233203,0.741048446284633,5.719422468524531,12.002995384595765,2117.881310302816,1355.4415318463168,194.4000000000001,4607.0
16,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000016/cloud.pcd,50812,16938,34.90844108868829,9.152813387407518,3.8734182558464028,0.7378051525087039,0.1512354882347309,0.1109593592565651,0.7378051525087039,5.706946821884248,11.916081108594042,2125.0055498701095,1356.3391222915611,202.0,4596.0
17,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000017/cloud.pcd,50912,16971,35.65034548183813,9.146216430449583,3.8760805590421064,0.7434466256404423,0.1478284656201247,0.10872490873943294,0.7434466256404423,5.717560623547169,11.987051090327585,2121.2093612507856,1356.9566082203637,189.0,4601.0
18,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000018/cloud.pcd,50836,16946,35.705481671304064,9.133552346723516,3.8722752306482526,0.7441974755919899,0.14735208348424744,0.10845044092376269,0.7441974755919899,5.716682264204197,11.942500236417235,2126.4942363679284,1356.677425266775,194.0,4610.0
19,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000019/cloud.pcd,50873,16958,34.920860775994804,9.120891993202926,3.876433526561967,0.7388125094707636,0.15018124840284836,0.11100624212638806,0.7388125094707636,5.708147058671404,12.003145437618898,2124.8602991763805,1359.3879265914054,188.0,4611.399999999994
20,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000020/cloud.pcd,50909,16970,35.455645700582735,9.122460726740105,3.8774200886044357,0.7427078100966534,0.14793245291396467,0.10935973698938185,0.7427078100966534,5.718970681858223,12.076234864473399,2121.7214048596516,1358.089356725915,181.0,4605.0
21,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000021/cloud.pcd,50862,16954,35.054971283683884,9.140103984813669,3.880032418254918,0.7392636864298938,0.15005208602201928,0.11068422754808688,0.7392636864298938,5.709802646387243,12.066205969526031,2127.3944988399985,1358.930757504578,188.0,4606.0
22,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000022/cloud.pcd,50879,16960,34.993092180755255,9.133807521671805,3.8812305044998094,0.738982554771338,0.15010325438060873,0.11091419084805329,0.738982554771338,5.706127054920029,12.018867872185114,2122.8465771732936,1358.143499854809,184.0,4603.0
23,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000023/cloud.pcd,50831,16944,34.54801469098479,9.122113134032249,3.87509487487259,0.7359583983153557,0.15187611520058933,0.11216548648405505,0.7359583983153557,5.691640203574617,11.97202361863296,2126.8178277035668,1358.8547857218023,187.0,4604.0
24,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000024/cloud.pcd,50833,16945,34.98204466538195,9.133998684865315,3.8810563356257965,0.7388946594678535,0.15016110120166312,0.11094423933048345,0.7388946594678535,5.710799351092763,12.156522392197402,2126.6291582239883,1360.0027455812524,184.60000000000036,4605.0
25,dogfooding_results/lidar_degeneracy_tunnel_geom_2700_200/00000025/cloud.pcd,50833,16945,35.2367532492142,9.131108449036482,3.876159783266088,0.7408640806246781,0.14913260108286458,0.11000331829245727,0.7408640806246781,5.706227455165823,12.13557151864015,2128.3302775755906,1360.8650432156728,181.0,4608.0
