frame,path,points,sampled_points,lambda1,lambda2,lambda3,linearity,planarity,scattering,degeneracy_score,range_mean_m,range_p95_m,intensity_mean,intensity_std,intensity_p05,intensity_p95
0,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000000/cloud.pcd,39727,19864,46.622658499950305,16.95888283248216,3.860515583434932,0.6362523421417455,0.28094423764061394,0.08280342021764046,0.6362523421417455,6.64838468311584,14.757624693466301,1828.0276386336748,1500.7194373209866,59.0,4726.399999999994
1,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000001/cloud.pcd,39765,19883,47.10257614069324,16.97449653110808,3.8645483424979137,0.6396270029816196,0.2783276258489844,0.08204537116939602,0.6396270029816196,6.655190221769451,14.737001605075978,1823.3787501571735,1498.7315222040368,53.0,4716.799999999996
2,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000002/cloud.pcd,39856,19928,46.72339690304844,16.929721501331144,3.8622551116763417,0.6376607305230717,0.2796771479772744,0.08266212149965388,0.6376607305230717,6.638051054766979,14.775663166026058,1820.4716981132076,1499.2768991400314,45.0,4724.0
3,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000003/cloud.pcd,39779,19890,46.93029754170592,16.94071815031664,3.8563564186805563,0.6390238494596844,0.2788041503467627,0.08217200019355295,0.6390238494596844,6.6467138702134605,14.771954217031096,1823.6886296789764,1497.8462026935317,56.0,4722.0
4,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000004/cloud.pcd,39753,19877,46.37981959085393,16.950371539006575,3.8603536804511966,0.6345313179624964,0.28223520432012894,0.08323347771737465,0.6345313179624964,6.64108947506666,14.718077187098464,1823.3294845672024,1496.8555707426146,56.0,4722.0
5,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000005/cloud.pcd,39784,19892,46.45598834960323,16.944860091768682,3.8589953164592075,0.6352491746758111,0.28168305616128897,0.08306776916289989,0.6352491746758111,6.644686469809568,14.755864810308022,1821.6969636034587,1497.5380073525828,54.0,4715.0
6,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000006/cloud.pcd,39801,19901,46.797542444525476,16.950189622237797,3.861614416698547,0.6377974411299309,0.27968509716198553,0.08251746170808358,0.6377974411299309,6.651041815618488,14.794808005804931,1819.7040526619935,1497.919419846396,52.0,4725.0
7,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000007/cloud.pcd,39796,19898,45.99529339922048,16.94868443661626,3.8621890382878115,0.6315126356623371,0.28451814155728894,0.08396922278037403,0.6315126356623371,6.639777971778675,14.785413574788244,1818.7707055985527,1497.3295608239264,52.0,4708.0
8,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000008/cloud.pcd,39748,19874,46.9877539361711,16.97048857861993,3.8478907479414675,0.6388316708716721,0.27927697605006624,0.08189135307826167,0.6388316708716721,6.659111913742678,14.786185027218442,1821.3427845426186,1496.1894496319346,57.0,4718.0
9,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000009/cloud.pcd,39726,19863,46.82205919150657,16.93072055985716,3.856407700411971,0.638402905549093,0.2792340423553359,0.08236305209557114,0.638402905549093,6.6471686477733,14.673382386898213,1823.1782459849971,1494.691167169568,57.0,4711.75
10,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000010/cloud.pcd,39770,19885,45.9554502194192,16.83301415020692,3.8478363073897426,0.6337101677856294,0.2825601268362743,0.08372970537809635,0.6337101677856294,6.605620060080888,14.668510797656285,1826.278501382952,1496.8658010773604,56.0,4721.099999999991
11,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000011/cloud.pcd,39712,19856,47.25518292133963,16.86239001515467,3.8386931438523586,0.6431631627958443,0.2756035648614754,0.08123327234268032,0.6431631627958443,6.6272348849142135,14.69790652379711,1826.9484286865431,1496.2811870341718,58.0,4716.449999999997
12,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000012/cloud.pcd,39692,19846,46.29253597537958,16.90462927343215,3.837615544419667,0.6348303475440883,0.28227042337801717,0.08289922907789457,0.6348303475440883,6.626687424038356,14.695303449568481,1827.9138617353624,1495.0673627431331,61.0,4720.449999999997
13,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000013/cloud.pcd,39368,19684,46.963285971072565,16.983450495229643,3.8289881656238003,0.6383675003982741,0.2801009779790206,0.08153152162270541,0.6383675003982741,6.671743834401864,14.813363842101774,1842.660688884373,1492.449576077452,80.0,4727.6500000000015
14,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000014/cloud.pcd,39422,19711,47.22570933540943,16.955627582457083,3.835137926050764,0.6409661639588354,0.2778251473836241,0.08120868865754041,0.6409661639588354,6.665803506563646,14.773245635999327,1856.3142661458069,1509.118097409978,74.0,4786.949999999997
15,dogfooding_results/lidar_degeneracy_tunnel_stride5/00000015/cloud.pcd,39521,19761,47.19032753191803,16.94417286328646,3.8403717730390823,0.6409397063026112,0.27767980803660214,0.08138048566078668,0.6409397063026112,6.660620416815519,14.806532229448566,1855.2312947546873,1509.3247219991156,67.0,4777.0
